Order Date,Purchase Price Per Unit,Quantity,Shipping Address State,Title,ASIN/ISBN (Product Code),Category,Survey ResponseID,Total Value
2021-11-29,39.99,1.0,AL,"MYNT3D Super 3D Pen, 1.75mm ABS and PLA Compatible 3D Printing Pen",B081C946ZJ,3D_PRINTER,R_27lBy3G8YEF0qXq,39.99
2020-03-15,10.69,1.0,AL,'Salem's Lot,0345806794,ABIS_BOOK,R_VUuTFGkN2NYoiCB,10.69
2019-12-10,13.99,3.0,AL,100 Days to Brave Deluxe Edition: Devotions for Unlocking Your Most Courageous Self,0310454492,ABIS_BOOK,R_2TmKTVoITgoXQmz,41.97
2019-12-10,8.99,1.0,AL,100 Days to Brave: Devotions for Unlocking Your Most Courageous Self,031008962X,ABIS_BOOK,R_2TmKTVoITgoXQmz,8.99
2019-11-18,5.99,1.0,AL,"101 So Bad, They're Good Dad Jokes",1973749122,ABIS_BOOK,R_31T8fMuMzphe1sL,5.99
2020-09-01,3.58,1.0,AL,11 Dreams,B0007CYEW6,ABIS_BOOK,R_1mI2VIesV2bWn6N,3.58
2020-02-18,10.69,1.0,AL,11/22/63: A Novel,1451627297,ABIS_BOOK,R_VUuTFGkN2NYoiCB,10.69
2019-07-04,5.09,1.0,AL,1634: The Galileo Affair (The Ring of Fire),0743499190,ABIS_BOOK,R_31T8fMuMzphe1sL,5.09
2020-09-18,6.0,1.0,AL,1635: The Wars for the Rhine (24) (Ring of Fire),1476782229,ABIS_BOOK,R_31T8fMuMzphe1sL,6.0
2019-07-04,4.18,1.0,AL,1636: The Cardinal Virtues (19) (The Ring of Fire),1476781699,ABIS_BOOK,R_31T8fMuMzphe1sL,4.18
2020-09-18,8.99,1.0,AL,1636: The China Venture (27) (Ring of Fire),1982124938,ABIS_BOOK,R_31T8fMuMzphe1sL,8.99
2019-07-04,5.09,1.0,AL,1636: The Saxon Uprising (The Ring of Fire),1451638213,ABIS_BOOK,R_31T8fMuMzphe1sL,5.09
2019-07-04,3.64,1.0,AL,1636: The Vatican Sanction (24) (Ring of Fire),1481483862,ABIS_BOOK,R_31T8fMuMzphe1sL,3.64
2020-09-18,8.99,1.0,AL,1637: The Polish Maelstrom (26) (Ring of Fire),1982124725,ABIS_BOOK,R_31T8fMuMzphe1sL,8.99
2020-09-18,6.29,1.0,AL,1637: The Volga Rules (25) (Ring of Fire),1481484079,ABIS_BOOK,R_31T8fMuMzphe1sL,6.29
2020-10-05,6.86,1.0,AL,1984,0451524934,ABIS_BOOK,R_VUuTFGkN2NYoiCB,6.86
