Order Date,Purchase Price Per Unit,Quantity,Shipping Address State,Title,ASIN/ISBN (Product Code),Category,Survey ResponseID,Total Value
2022-12-28,39.99,1.0,AR,"MYNT3D Super 3D Pen, 1.75mm ABS and PLA Compatible 3D Printing Pen",B081C946ZJ,3D_PRINTER,R_3NDry1LyvCgVPFI,39.99
2020-02-21,19.9,1.0,AR,"Nowten ABS Stimulator Hips Trainer, Hip Trainer Buttocks Lifting Muscle Stimulator Gear Home Office Workout Equipment Ab Machine for Women Men",B0842NTPCG,ABDOMINAL_EXERCISER,R_1lsgykNxEU4BXTI,19.9
2020-08-09,159.99,1.0,AR,"Perantlb Battle Rope-1.5"" Diameter, 30” 40”50”Lengths ,Steel Anchor & Strap Included-Battle Exercise Training Rope",B07QW5QN98,ABDOMINAL_EXERCISER,R_5vBegJGWq4ssxxv,159.99
2022-05-04,299.99,1.0,AR,"Total Gym APEX Versatile Indoor Home Workout Total Body Strength Training Fitness Equipment with 6, 8, or 10 Levels of Resistance and Attachments",B084YTVX7J,ABDOMINAL_EXERCISER,R_1lsgykNxEU4BXTI,299.99
2019-05-08,17.33,1.0,AR,"1,500 Color Mixing Recipes for Oil, Acrylic & Watercolor: Achieve precise color when painting landscapes, portraits, still lifes, and more",1600582834,ABIS_BOOK,R_qE3fPAGt0j3s93P,17.33
2019-10-04,8.99,1.0,AR,100 Days to Brave: Devotions for Unlocking Your Most Courageous Self,031008962X,ABIS_BOOK,R_qE3fPAGt0j3s93P,8.99
2020-12-16,5.99,1.0,AR,"101 So Bad, They're Good Dad Jokes",1973749122,ABIS_BOOK,R_2fJTjhPhMdpNQLO,5.99
2022-12-14,13.94,1.0,AR,12 Rules for Life: An Antidote to Chaos,141988517,ABIS_BOOK,R_1giQnGxDawzsP9r,13.94
2021-12-15,19.95,1.0,AR,123s for The Little gs,099853224X,ABIS_BOOK,R_2wBtQSW3WmPZRLq,19.95
2018-05-08,22.05,1.0,AR,"1983: Reagan, Andropov, and a World on the Brink",1549198017,ABIS_BOOK,R_qE3fPAGt0j3s93P,22.05
2021-02-01,6.99,1.0,AR,2021-2022 Monthly Planner: Leopard Print 2 Year Cheetah Animal Calendar for Women | Large 8x10,B08PRRD8MR,ABIS_BOOK,R_1dskEAgtGDCt6s5,6.99
2021-10-30,5.99,1.0,AR,"2022-2023: Monthly Planner Rose Gold Pink and Gray Marble Cover | Large 2022 2023 Calendar For Women ~ Two Year January - December 22 23 | Cute, 8 x ... Do Lists, Goals, Holidays, Notes and Schedule",B09KF5WS6R,ABIS_BOOK,R_1dskEAgtGDCt6s5,5.99
2022-01-05,38.7,1.0,AR,3D Printing: An Introduction,1683922093,ABIS_BOOK,R_R4goEYhjG8ibKsV,38.7
2021-06-05,14.99,1.0,AR,4-Way Coordination: A Method Book for the Development of Complete Independence on the Drum Set,0769233708,ABIS_BOOK,R_R4goEYhjG8ibKsV,14.99
2020-11-27,5.99,1.0,AR,50 Shades Of Bullsh*t: Dark Edition: Swear Word Coloring Book,2376190029,ABIS_BOOK,R_pzamSNe0bMqAYhP,5.99
2019-11-19,14.97,1.0,AR,"50 States, 5,000 Ideas: Where to Go, When to Go, What to See, What to Do",1426216904,ABIS_BOOK,R_qE3fPAGt0j3s93P,14.97
2020-11-23,18.17,1.0,AR,60 Days to Becoming a Missionary Disciple,1644132605,ABIS_BOOK,R_R4goEYhjG8ibKsV,18.17
2021-06-17,8.99,1.0,AR,"A Darker Shade of Magic: A Novel (Shades of Magic, 1)",0765376466,ABIS_BOOK,R_25EHRGMe6DLAUM9,8.99
2021-05-05,17.4,1.0,AR,"A Gambling Man (An Archer Novel, 2)",1538719673,ABIS_BOOK,R_uacaCFAWF1Ls0SZ,17.4
2021-07-18,9.34,1.0,AR,A Gentleman in Moscow: A Novel,0143110438,ABIS_BOOK,R_1dskEAgtGDCt6s5,9.34
2019-05-25,12.75,1.0,AR,A Gentleman in Moscow: A Novel,143110438,ABIS_BOOK,R_3nTTyw1tM8Efnek,12.75
2019-02-05,10.35,1.0,AR,A History of Philosophy (Book One: Vol. I - Greece & Rome; Vol. II - Augustine to Scotus; Vol. III -Ockham to Suarez),0385230311,ABIS_BOOK,R_TtjiPpPxtkd5Vnz,10.35
2019-04-13,6.77,1.0,AR,A History of Philosophy (Book Two: Volume IV - Descartes to Leibniz; Volume V - Hobbes to Hume; Volume VI - Wolff to Kant),038523032X,ABIS_BOOK,R_TtjiPpPxtkd5Vnz,6.77
2019-02-05,1.8,1.0,AR,A Hundred Years of Philosophy,0140209271,ABIS_BOOK,R_TtjiPpPxtkd5Vnz,1.8
2022-10-27,38.89,1.0,AR,"A Legal Primer on Managing Museum Collections, Third Edition",1588343227,ABIS_BOOK,R_1NgAUlbpH2mgLYQ,38.89
2018-12-01,22.57,1.0,AR,A Living History of the Ozarks,0882898019,ABIS_BOOK,R_3EWpU9jtvio82ZW,22.57
2020-01-24,12.75,1.0,AR,A Mouse Cookie First Library (If You Give...),61174793,ABIS_BOOK,R_3nTTyw1tM8Efnek,12.75
2021-01-02,4.99,1.0,AR,A New Reindeer Friend (Disney Frozen) (Little Golden Book),736433511,ABIS_BOOK,R_3nTTyw1tM8Efnek,4.99
2021-03-17,39.79,1.0,AR,A Silent Voice Complete Series Box Set,1632366436,ABIS_BOOK,R_25EHRGMe6DLAUM9,39.79
2019-09-28,16.0,1.0,AR,A Time to Laugh: Humor in the Bible,1573126837,ABIS_BOOK,R_qE3fPAGt0j3s93P,16.0
2018-08-24,4.99,1.0,AR,A Whole New Mind: Moving from the Information Age to the Conceptual Age,1573223085,ABIS_BOOK,R_R4goEYhjG8ibKsV,4.99
2018-08-31,4.99,1.0,AR,A Whole New Mind: Moving from the Information Age to the Conceptual Age,1573223085,ABIS_BOOK,R_R4goEYhjG8ibKsV,4.99
2019-12-15,16.5,1.0,AR,AP Statistics with Online Tests (Barron's Test Prep),1438011695,ABIS_BOOK,R_qE3fPAGt0j3s93P,16.5
2021-03-13,18.99,1.0,AR,ATI TEAS 6 Prep 2020-2021: 680 Questions and Detailed Answer Explanations for the Test of Essential Academic Skills (4 Full-Length Practice Exams),1989726372,ABIS_BOOK,R_5vBegJGWq4ssxxv,18.99
2020-01-07,11.32,1.0,AR,"Adult All-in-One Course: lesson, theory, solo. Level 3 (Alfred's Basic Adult Piano Course)",0739000683,ABIS_BOOK,R_3QVFRYnb5ltd95Y,11.32
2018-06-21,24.0,1.0,AR,Advance (the book): Define your dreams & navigate from here to there,1717172695,ABIS_BOOK,R_117LDoOnJxdPvkb,24.0
2020-10-14,127.0,1.0,AR,"Adventure Lion Premium Waterproof Dry Bag with Shoulder Strap & Grab Handle, Roll Top Dry Sack Great for Kayaking, Swimming, Boating (Pink, 5 Liter)",B01M3STG9N,ABIS_BOOK,R_2YJLVqCGAyLiODQ,127.0
2019-01-28,9.38,1.0,AR,"Alfred's Basic Adult Piano Course Greatest Hits, Bk 1 (Alfred's Basic Adult Piano Course, Bk 1)",0739002813,ABIS_BOOK,R_3QVFRYnb5ltd95Y,9.38
2018-08-24,46.31,1.0,AR,Alfred's Group Piano for Adults Student Book 1 (Second Edition): An Innovative Method Enhanced With Audio and Midi Files for Practice and Performance (Alfred's Group Piano for Adults),0739053019,ABIS_BOOK,R_R4goEYhjG8ibKsV,46.31
2022-04-11,19.99,1.0,AR,All Quiet at Mena,979189640,ABIS_BOOK,R_1giQnGxDawzsP9r,19.99
2022-04-20,7.94,1.0,AR,"All Roads End Here (The Final War, 2)",1250206278,ABIS_BOOK,R_28Gy0hS5BC0S69p,7.94
2020-05-15,13.44,1.0,AR,Alphablock (An Abrams Block Book),1419709364,ABIS_BOOK,R_3EWpU9jtvio82ZW,13.44
2019-09-28,24.89,1.0,AR,"Amplified Holy Bible, Large Print, Hardcover: Captures the Full Meaning Behind the Original Greek and Hebrew",0310444039,ABIS_BOOK,R_25EHRGMe6DLAUM9,24.89
2022-08-09,24.26,1.0,AR,"Anime Academy! How to Draw Manga: Your Complete Guide to Drawing Anime Characters From Heads, and Anatomy, and Clothing, all the way to Color Illustrations!",B09XSSB6BM,ABIS_BOOK,R_3QVFRYnb5ltd95Y,24.26
2022-03-24,6.84,1.0,AR,Antiracist Baby Picture Book,0593110501,ABIS_BOOK,R_3EWpU9jtvio82ZW,6.84
2021-06-02,20.91,1.0,AR,Ape Escape 5 (ladybug Colo Comics) (2009) ISBN: 4091407897 [Japanese Import],4091407897,ABIS_BOOK,R_3QVFRYnb5ltd95Y,20.91
2021-06-02,22.78,1.0,AR,Ape Escape 6 (ladybug Colo Comics) (2010) ISBN: 4091408931 [Japanese Import],4091408931,ABIS_BOOK,R_3QVFRYnb5ltd95Y,22.78
2021-06-02,23.79,1.0,AR,Ape Escape 7 (ladybug Colo Comics) (2010) ISBN: 4091410847 [Japanese Import],4091410847,ABIS_BOOK,R_3QVFRYnb5ltd95Y,23.79
2021-06-02,21.98,1.0,AR,Ape Escape 8 (ladybug Colo Comics) (2011) ISBN: 4091412033 [Japanese Import],4091412033,ABIS_BOOK,R_3QVFRYnb5ltd95Y,21.98
2021-06-02,28.36,1.0,AR,Ape Escape 9 (ladybug Colo Comics) (2012) ISBN: 409141396X [Japanese Import],409141396X,ABIS_BOOK,R_3QVFRYnb5ltd95Y,28.36
2018-01-01,117.98,1.0,AR,Applied Phonetics Workbook: A Systematic Approach to Phonetic Transcription,0769302610,ABIS_BOOK,R_1rCUSJlDlnXVC1y,117.98
2018-01-01,12.0,1.0,AR,"Applied Phonetics: The Sounds of American English, 3rd Edition",0769302602,ABIS_BOOK,R_1rCUSJlDlnXVC1y,12.0
2018-12-08,8.05,1.0,AR,"Arkansas Off the Beaten Path®, 10th: A Guide to Unique Places (Off the Beaten Path Series)",1493006355,ABIS_BOOK,R_TtjiPpPxtkd5Vnz,8.05
2019-12-08,14.2,1.0,AR,"Arkansas Wild & Scenic 2020 12 x 12 Inch Monthly Square Wall Calendar with Foil Stamped Cover, USA United States of America Southeast State Nature (English, French and Spanish Edition)",1975406370,ABIS_BOOK,R_3EWpU9jtvio82ZW,14.2
2022-12-11,20.68,1.0,AR,Arnold Jacobs: Song and Wind,0965248909,ABIS_BOOK,R_2foDWbM9hrc4GlL,20.68
2022-05-22,25.79,1.0,AR,Assessment in Counseling: Procedures and Practices,1556203683,ABIS_BOOK,R_1GOAtWFJawsiDH1,25.79
2020-03-05,16.2,1.0,AR,Atomic Habits: An Easy & Proven Way to Build Good Habits & Break Bad Ones,0735211299,ABIS_BOOK,R_1dskEAgtGDCt6s5,16.2
2022-07-25,5.75,1.0,AR,Autumn: Aftermath (Autumn series 5),0312570023,ABIS_BOOK,R_28Gy0hS5BC0S69p,5.75
