Order Date,Purchase Price Per Unit,Quantity,Shipping Address State,Title,ASIN/ISBN (Product Code),Category,Survey ResponseID,Total Value
2022-06-27,5.99,1.0,CT,4PCS Creality 3D Printer Extruder Nozzles 0.2mm 0.3mm 0.4mm 0.5mm for Creality Ender 3/Ender 3 Pro/Ender 3 V2/Ender 3 S1/Ender 5 Pro/Ender 5 Plus/CR-10 V3,B071SFMJQ1,3D_PRINTER,R_2wzg5iAnEyFC9zz,5.99
2021-11-10,34.99,1.0,CT,ELEGOO 3D Printer Resin LCD UV-Curing Resin 405nm Standard Photopolymer Resin for LCD 3D Printing Pure Black 1000g,B081N88WHS,3D_PRINTER,R_3rUnUmjbfgYFmMs,34.99
2021-11-10,34.99,1.0,CT,ELEGOO 3D Printer Resin LCD UV-Curing Resin 405nm Standard Photopolymer Resin for LCD 3D Printing Translucent 1000g,B07Z994PW2,3D_PRINTER,R_3rUnUmjbfgYFmMs,34.99
2021-11-10,499.99,1.0,CT,"ELEGOO Saturn MSLA 3D Printer UV Photocuring LCD Resin 3D Printer with 4K Monochrome LCD, Matrix UV LED Light Source, Off-Line, and WLAN Print,192 x 120 x 200 m³ / 7.55 x 4.72 x 7.87 in³ Printing Size",B086283SQJ,3D_PRINTER,R_3rUnUmjbfgYFmMs,499.99
2022-06-24,184.52,1.0,CT,Official Creality Ender 3 3D Printer Fully Open Source with Resume Printing Function DIY 3D Printers Printing Size 8.66x8.66x9.84 inch,B07BR3F9N6,3D_PRINTER,R_2wzg5iAnEyFC9zz,184.52
2021-11-06,189.0,1.0,CT,Official Creality Ender 3 3D Printer Fully Open Source with Resume Printing Function DIY 3D Printers Printing Size 8.66x8.66x9.84 inch,B07BR3F9N6,3D_PRINTER,R_1otq0g5FLSi9hVw,189.0
2021-03-28,8.99,1.0,CT,"Chiwo Exercise Core Sliders for Working Out, 2 Pack Dual Sided Use on Carpet or Hardwood Floors for Abdominal&Full Body Workout",B0896TDRFK,ABDOMINAL_EXERCISER,R_32Mm71oAJq2K9XK,8.99
2020-08-09,9.18,1.0,CT,Tone Fitness Ab Roller Wheel for Abs Workout | Ab Roller | Exercise Equipment & Accessories,B003P90LQG,ABDOMINAL_EXERCISER,R_9vudhfLDxozbpex,9.18
2018-08-04,49.75,1.0,CT,"""Race"" Is a Four-Letter Word: The Genesis of the Concept",0195173511,ABIS_BOOK,R_xtRawoesxIdBPX3,49.75
2018-07-26,16.88,1.0,CT,#POSITIVITY: You Are Always In The Right Place At The Right Time,193654900X,ABIS_BOOK,R_20M6h8zoTN9Ddxq,16.88
2019-11-24,23.37,1.0,CT,"10 Actual, Official LSAT PrepTests Volume VI: (PrepTests 72–81)",0998339784,ABIS_BOOK,R_xt1sEBScdPLKPhT,23.37
2020-01-29,9.61,1.0,CT,"100 Amazing Patterns: An Adult Coloring Book with Fun, Easy, and Relaxing Coloring Pages",1079520015,ABIS_BOOK,R_32Mm71oAJq2K9XK,9.61
2021-12-04,14.47,1.0,CT,100 Things Jets Fans Should Know & Do Before They Die (100 Things...Fans Should Know),1629370002,ABIS_BOOK,R_32Mm71oAJq2K9XK,14.47
2022-10-30,17.95,1.0,CT,"1001 Chess Exercises for Beginners: The Tactics Workbook that Explains the Basic Concepts, Too",9056913972,ABIS_BOOK,R_AiLABca1I8NWvOF,17.95
2020-01-28,15.55,1.0,CT,12 Rules for Life: An Antidote to Chaos,0345816021,ABIS_BOOK,R_AiLABca1I8NWvOF,15.55
2021-06-08,10.95,1.0,CT,123s of D&D (Dungeons & Dragons Children's Book),0786966688,ABIS_BOOK,R_1rrC3Wsd5Y38mOA,10.95
2019-04-13,9.95,1.0,CT,14 Ways to Protect Your Baby from SIDS: Safe Sleep Advice from the Experts (A Parenting Press Qwik Book),1936903032,ABIS_BOOK,R_25thHabUddjXGzt,9.95
2019-08-25,44.95,1.0,CT,2016 Honda CR-V Owners Manual 16 Kit,2990498893,ABIS_BOOK,R_1otq0g5FLSi9hVw,44.95
2021-01-01,11.48,1.0,CT,2021 Down East Wall Calendar,194409413X,ABIS_BOOK,R_2pWwhBj1ZE9iNrB,11.48
2019-04-13,6.95,1.0,CT,30 Minute Seder: The Haggadah That Blends Brevity With Tradition,097912560X,ABIS_BOOK,R_25thHabUddjXGzt,6.95
2019-09-02,10.5,1.0,CT,300 Beers to Try Before You Die!,1852492732,ABIS_BOOK,R_2qmBBJlcY2GEDne,10.5
2019-09-02,15.57,1.0,CT,300 More Beers to Try Before You Die!,1852492953,ABIS_BOOK,R_2qmBBJlcY2GEDne,15.57
2020-01-29,7.99,1.0,CT,499 Facts about Hip-Hop Hamilton and the Rest of America's Founding Fathers: 499 Facts About Hop-Hop Hamilton and America's First Leaders,1510712127,ABIS_BOOK,R_32Mm71oAJq2K9XK,7.99
2021-03-11,17.1,1.0,CT,"5 Steps to a 5: AP Computer Science Principles, 2nd Edition",1260466760,ABIS_BOOK,R_AhNiHUaRBzQHY1b,17.1
