Order Date,Purchase Price Per Unit,Quantity,Shipping Address State,Title,ASIN/ISBN (Product Code),Category,Survey ResponseID,Total Value
2021-10-27,38.99,1.0,DC,"valas Smart Weighted Exercise Hoop Plus Size for Adults Weight Loss,Detachable Knots with Extra Links ,2 in 1 Adomen Fitness Massage Infinity Fitness Hoop for Adults and Beginners",B0995PZS83,ABDOMINAL_EXERCISER,R_54MGsoCtfFnpLoJ,38.99
2019-05-08,37.96,1.0,DC,"101 TEAMBUILDING ACTIVITIES Ideas Every Coach Can Use to Enhance Teamwork, Communication and Trust",B013J85CY8,ABIS_BOOK,R_3DkircP5jOIPPz3,37.96
2019-05-08,12.61,1.0,DC,"104 Activities That Build: Self-Esteem, Teamwork, Communication, Anger Management, Self-Discovery, Coping Skills",0966234138,ABIS_BOOK,R_3DkircP5jOIPPz3,12.61
2018-02-03,6.18,1.0,DC,1984,0451524934,ABIS_BOOK,R_2CKdeuvfVrO8I49,6.18
2021-12-27,34.14,1.0,DC,2022 Becoming Her: For Becoming The best Version of Yourself,B09MYL7SG8,ABIS_BOOK,R_BD2Y3Wa4pXBIsCd,34.14
2022-12-04,46.5,1.0,DC,A Court of Thorns and Roses Paperback Box Set (5 books),1639730192,ABIS_BOOK,R_32UZncFA03IrQwQ,46.5
2021-08-14,9.82,1.0,DC,A New Economic View of American History: From Colonial Times to 1940,0393963152,ABIS_BOOK,R_22DJIjS0M8yvaYO,9.82
2019-12-27,9.99,1.0,DC,A Short History of Nearly Everything,076790818X,ABIS_BOOK,R_4IW0LHdxVB8XJct,9.99
2018-08-28,19.37,1.0,DC,Abandoned Washington DC,1634990625,ABIS_BOOK,R_2c1UYDhiZ7kSQwD,19.37
2019-05-08,9.56,1.0,DC,Activities That Teach,0966463315,ABIS_BOOK,R_3DkircP5jOIPPz3,9.56
2020-08-17,24.99,1.0,DC,Agent-Based and Individual-Based Modeling: A Practical Introduction,0691136742,ABIS_BOOK,R_22DJIjS0M8yvaYO,24.99
2020-12-10,9.9,1.0,DC,Air Fryer Cookbook: 600 Effortless Air Fryer Recipes for Beginners and Advanced Users,1674844468,ABIS_BOOK,R_6FFYPC0OsCgV4Rz,9.9
2020-08-17,59.88,1.0,DC,"An Introduction to Agent-Based Modeling: Modeling Natural, Social, and Engineered Complex Systems with NetLogo (The MIT Press)",0262731894,ABIS_BOOK,R_22DJIjS0M8yvaYO,59.88
2021-10-23,5.98,1.0,DC,Andrew Jackson and His Indian Wars,0142001287,ABIS_BOOK,R_2c1UYDhiZ7kSQwD,5.98
2020-09-24,8.08,1.0,DC,Antiracist Baby Picture Book,0593110501,ABIS_BOOK,R_3HLKIA2u3ZnY9lM,8.08
2018-01-13,163.84,1.0,DC,Applied Linear Regression Models- 4th Edition with Student CD (McGraw Hill/Irwin Series: Operations and Decision Sciences),0073014664,ABIS_BOOK,R_2YrIsuxiBaSwICV,163.84
2021-03-14,11.98,1.0,DC,Atomic Habits: An Easy & Proven Way to Build Good Habits & Break Bad Ones,0735211299,ABIS_BOOK,R_22DJIjS0M8yvaYO,11.98
2021-08-27,5.0,1.0,DC,Barnyard Dance! (Boynton on Board),1563054426,ABIS_BOOK,R_1lo5uRr9KHuBy90,5.0
