Order Date,Purchase Price Per Unit,Quantity,Shipping Address State,Title,ASIN/ISBN (Product Code),Category,Survey ResponseID,Total Value
2022-03-18,422.0,1.0,DE,"GEEETECH Mizar S Auto-Leveling 3D Printer with Ultra High Precision Printing Performance, Large Printing Size 10.0""x 10.0""x 10.2"", Fully Open Source Filmware with Quiet Dual Z-axis DIY 3D Printers",B09NVPSLXF,3D_PRINTER,R_2cmFD4NTF42JLfH,422.0
2020-03-29,10.84,1.0,DE,"Kamileo Core Sliders 2 Pack,Dual Sided Use on Carpet or Hardwood Floors.Fitness Equipment for Abdominal,Exercise Gear for Gym, Home,Travel,Improve Balance,Core Strength for Man & Women",B07FCGSBRD,ABDOMINAL_EXERCISER,R_1NFde2vzLpu8IWT,10.84
2020-09-01,20.99,1.0,DE,"Solofit Ab Exercise Mat– Abdominal, Sit Up & Core Trainer Pad for Full Range Motion Ab Workout - Provides Lower Back Support, Lumbar Support, Stretches Ab Muscles",B07YGXJS5M,ABDOMINAL_EXERCISER,R_2ZQhqi8UnqgEMIo,20.99
2020-09-24,13.69,1.0,DE,1919,1608465985,ABIS_BOOK,R_xDvEzzSGeDDkvU5,13.69
2021-12-01,11.71,1.0,DE,2022 Harry Potter Wall Calendar,1438883463,ABIS_BOOK,R_279w6VtL6RMPoAy,11.71
2022-01-04,9.1,1.0,DE,"30-Minute Drawing for Beginners: Easy Step-by-Step Lessons & Techniques for Landscapes, Still Lifes, Figures, and More",1647391229,ABIS_BOOK,R_3ipMSGFZREpVy5r,9.1
2018-01-28,22.18,1.0,DE,"31 Days Before Your CCNA Routing & Switching Exam: A Day-by-Day Review Guide for the ICND1/CCent (100-105), ICND2 (200-105), and CCNA (200-125) Certification Exams",1587205904,ABIS_BOOK,R_1gjdRVy7DXPMldc,22.18
2020-07-19,6.99,1.0,DE,A Court of Frost and Starlight (A Court of Thorns and Roses),1547600500,ABIS_BOOK,R_Xhz81T9LodPX0KB,6.99
2020-05-02,8.53,1.0,DE,"A Court of Mist and Fury (A Court of Thorns and Roses, 2)",1619635194,ABIS_BOOK,R_Xhz81T9LodPX0KB,8.53
2021-03-06,16.8,1.0,DE,"A Court of Silver Flames (A Court of Thorns and Roses, 5)",168119628X,ABIS_BOOK,R_Xhz81T9LodPX0KB,16.8
2022-02-16,10.8,1.0,DE,"A Court of Thorns and Roses (A Court of Thorns and Roses, 1)",1635575567,ABIS_BOOK,R_Xhz81T9LodPX0KB,10.8
2022-03-09,13.94,1.0,DE,A Court of Thorns and Roses Coloring Book,1681195763,ABIS_BOOK,R_Xhz81T9LodPX0KB,13.94
2023-02-08,67.08,1.0,DE,A Court of Thorns and Roses Hardcover Box Set,1635577713,ABIS_BOOK,R_1NFde2vzLpu8IWT,67.08
2020-06-03,6.89,1.0,DE,"A Court of Wings and Ruin (A Court of Thorns and Roses, 3)",1619635208,ABIS_BOOK,R_Xhz81T9LodPX0KB,6.89
2020-01-06,19.69,1.0,DE,A Feast of Ice and Fire: The Official Game of Thrones Companion Cookbook,0345534492,ABIS_BOOK,R_Xhz81T9LodPX0KB,19.69
2022-11-09,7.99,2.0,DE,A Mango-Shaped Space,0316058254,ABIS_BOOK,R_2xzc7JBNEgYNAqY,15.98
2020-06-03,17.09,1.0,DE,A Song of Wraiths and Ruin,0062891499,ABIS_BOOK,R_Xhz81T9LodPX0KB,17.09
2022-11-09,9.69,1.0,DE,A Vineyard Morning (A Vineyard Novel),1496728831,ABIS_BOOK,R_2VL8e1BX9FsuiCT,9.69
2018-07-20,7.44,1.0,DE,"Adios, America",1621572676,ABIS_BOOK,R_1P5ErlPGjubgaax,7.44
2020-12-16,9.9,1.0,DE,Air Fryer Cookbook: 600 Effortless Air Fryer Recipes for Beginners and Advanced Users,1674844468,ABIS_BOOK,R_1HqJHdXffOUfDTR,9.9
2021-11-06,15.99,1.0,DE,"Alfred's Kid's Ukulele Course 2: The Easiest Ukulele Method Ever!, Book & Online Audio",1470633825,ABIS_BOOK,R_1meEApGTqRnvC4S,15.99
2022-04-21,9.44,1.0,DE,All the Missing Girls: A Novel,1501107976,ABIS_BOOK,R_2xzc7JBNEgYNAqY,9.44
2020-01-05,31.5,1.0,DE,"America and Iran: A History, 1720 to the Present",0307271811,ABIS_BOOK,R_3lrG75UCQA6dT2c,31.5
2019-07-06,16.95,1.0,DE,America's Graphic Design Magazine November/December 1988 Print XLll:Vl Editors Carol Steves,B000W6Y5TY,ABIS_BOOK,R_xDvEzzSGeDDkvU5,16.95
2020-11-05,15.3,1.0,DE,"ArtCurious: Stories of the Unexpected, Slightly Odd, and Strangely Wonderful in Art History",0143134590,ABIS_BOOK,R_ukwc16oqCZ5ZgZP,15.3
2020-11-06,4.99,1.0,DE,Arthur Rackham Journal,1097562476,ABIS_BOOK,R_Xhz81T9LodPX0KB,4.99
2020-12-01,11.98,1.0,DE,Atomic Habits: An Easy & Proven Way to Build Good Habits & Break Bad Ones,0735211299,ABIS_BOOK,R_1NFde2vzLpu8IWT,11.98
2020-04-04,36.99,1.0,DE,Basic German: A Grammar and Workbook (Routledge Grammar Workbooks),1138788260,ABIS_BOOK,R_3ipMSGFZREpVy5r,36.99
2021-11-29,15.91,1.0,DE,Basics of Drawing: The Ultimate Guide for Beginners,1684620163,ABIS_BOOK,R_2cmFD4NTF42JLfH,15.91
