Order Date,Purchase Price Per Unit,Quantity,Shipping Address State,Title,ASIN/ISBN (Product Code),Category,Survey ResponseID,Total Value
2023-02-17,32.82,1.0,HI,"Ultimate Body Press Push Up Accessories for Fast Upper Body and Abdominal Results: Premium Flat Palm Push Up Blocks, Heavy Duty Independent Wheel Ab Wheels and Product Bundles",B007AQ4FX0,ABDOMINAL_EXERCISER,R_28NaRbv2bvDrApB,32.82
2022-03-07,28.42,1.0,HI,100 Dives of a Lifetime: The World's Ultimate Underwater Destinations,1426220073,ABIS_BOOK,R_ptIjtL7ul8DEU4V,28.42
2020-11-10,13.85,1.0,HI,12 Rules for Life: An Antidote to Chaos,0141988517,ABIS_BOOK,R_21ntohm9l0O4R0Y,13.85
2022-09-25,18.79,1.0,HI,"A Face to Die For (Eve Duncan, 28)",1538713217,ABIS_BOOK,R_3niVeTkRSeDZf6H,18.79
2020-08-24,16.99,1.0,HI,A Field Guide to Lies: Critical Thinking with Statistics and the Scientific Method,0593182510,ABIS_BOOK,R_2TXBHPMwNAwKR7Q,16.99
2021-09-21,4.86,1.0,HI,A Friend Like Pikachu! (Pokémon) (Little Golden Book),1984848178,ABIS_BOOK,R_3Kv8PUwM5KE3ZA2,4.86
2019-04-10,13.56,1.0,HI,A Random Walk down Wall Street: The Time-tested Strategy for Successful Investing,393352242,ABIS_BOOK,R_1MRq2bN1HyXAyLJ,13.56
2018-11-25,13.2,1.0,HI,A Sucky Love Story: Overcoming Unhappily Ever After,1642930008,ABIS_BOOK,R_30f0gTKJr78YCy4,13.2
2022-06-13,27.99,1.0,HI,"A War of Empires: Japan, India, Burma & Britain: 1941–45",1472847148,ABIS_BOOK,R_3niVeTkRSeDZf6H,27.99
2021-11-22,29.99,1.0,HI,Adaptation under Fire: How Militaries Change in Wartime (Bridging the Gap),0190672056,ABIS_BOOK,R_3niVeTkRSeDZf6H,29.99
2020-08-19,8.69,1.0,HI,Aeschylus II: The Oresteia (The Complete Greek Tragedies),0226311473,ABIS_BOOK,R_2TXBHPMwNAwKR7Q,8.69
2022-07-14,11.99,1.0,HI,All About Love: New Visions,0060959479,ABIS_BOOK,R_2TXBHPMwNAwKR7Q,11.99
2018-12-11,25.81,1.0,HI,Alton's Antibiotics and Infectious Disease: The Layman's Guide to Available Antibacterials in Austere Settings,057841452X,ABIS_BOOK,R_xlWfGIx58Ye7BhD,25.81
2019-07-16,13.49,1.0,HI,American Education,007802451X,ABIS_BOOK,R_vAkydPXVzk0r3mV,13.49
2019-07-16,13.49,1.0,HI,American Education,007802451X,ABIS_BOOK,R_vAkydPXVzk0r3mV,13.49
2020-08-18,16.99,1.0,HI,Ancient Mexico and Central America: Archaeology and Culture History,0500290652,ABIS_BOOK,R_vAkydPXVzk0r3mV,16.99
2022-12-27,22.49,1.0,HI,"Anime Tarot: Explore the Archetypes, Symbolism, and Magic in Anime",1982187549,ABIS_BOOK,R_2A1ndNJQgbHz1mr,22.49
2022-07-14,7.7,1.0,HI,Are Prisons Obsolete?,1583225811,ABIS_BOOK,R_2TXBHPMwNAwKR7Q,7.7
2020-10-02,75.1,1.0,HI,Atlas of Human Anatomy (Netter Basic Science),0323393225,ABIS_BOOK,R_3OcPFnYHBC8wrZe,75.1
2019-03-13,55.77,1.0,HI,Automotive Technician Certification Test Preparation Manual,1428321012,ABIS_BOOK,R_3OcPFnYHBC8wrZe,55.77
2021-11-01,6.99,1.0,HI,Babies Love Colores / Babies Love Colors (Spanish Edition),1680528416,ABIS_BOOK,R_30f0gTKJr78YCy4,6.99
2021-11-01,7.99,1.0,HI,Babies Love animales / Animals (Spanish Edition),1680526189,ABIS_BOOK,R_30f0gTKJr78YCy4,7.99
2021-09-20,61.99,1.0,HI,Back Mechanic-VIDEO ENHANCED VERSION,097350188X,ABIS_BOOK,R_xlWfGIx58Ye7BhD,61.99
2018-08-12,27.5,1.0,HI,Basic Business Statistics,0321870026,ABIS_BOOK,R_30f0gTKJr78YCy4,27.5
2022-07-14,13.1,1.0,HI,"Becoming Abolitionists: Police, Protests, and the Pursuit of Freedom",1662600518,ABIS_BOOK,R_2TXBHPMwNAwKR7Q,13.1
2018-10-16,14.96,1.0,HI,Better Homes and Gardens Complete Guide to Food and Cooking: An Illustrated Guide to Successful Cooking,0696019116,ABIS_BOOK,R_2A1ndNJQgbHz1mr,14.96
2018-06-01,8.67,1.0,HI,Better Homes and Gardens Complete Step-By-Step Cookbook,069600125X,ABIS_BOOK,R_2A1ndNJQgbHz1mr,8.67
2022-09-27,90.6,1.0,HI,Blackwell's Five-Minute Veterinary Consult Clinical Companion: Canine and Feline Behavior,1118854217,ABIS_BOOK,R_3niVeTkRSeDZf6H,90.6
