Order Date,Purchase Price Per Unit,Quantity,Shipping Address State,Title,ASIN/ISBN (Product Code),Category,Survey ResponseID,Total Value
2022-09-03,16.19,1.0,IA,Creality Ender 3 /Pro/V2 3D Printer Assembled Extruder MK8 HotEnd Kit 24V with 0.4mm Nozzle Upgrade with Low Friction Creality-Capricorn Tubing,B07WNQP916,3D_PRINTER,R_3Wf6lQWPIfpWR9v,16.19
2022-03-17,18.99,1.0,IA,"Creality Official Ender 3 Glass Bed Upgraded, High Hardness Durable Glass Platform for 3D Printer, Tempered Glass Build Plate for Ender 3 Pro, Ender 5, Ender 5 Pro, Ender 3 V2, 235x235×4mm",B08XXVWN11,3D_PRINTER,R_28BbvRDVobNodrT,18.99
2022-03-13,189.0,1.0,IA,Official Creality Ender 3 3D Printer Fully Open Source with Resume Printing Function DIY 3D Printers Printing Size 8.66x8.66x9.84 inch,B07BR3F9N6,3D_PRINTER,R_28BbvRDVobNodrT,189.0
2022-04-13,199.0,1.0,IA,"Voxelab Aquila 3D Printer with Full Alloy Frame, Removable Build Surface Plate, Fully Open Source and Resume Printing Function Build Volume 8.66x8.66x9.84in",B08SPXYND4,3D_PRINTER,R_3Wf6lQWPIfpWR9v,199.0
2018-04-25,4.97,1.0,IA,"""Be Still"" Inspirational Adult Coloring Therapy Featuring Psalms",1432114891,ABIS_BOOK,R_22LhWfg76oW592Y,4.97
2023-01-10,7.72,1.0,IA,"""Serenity"": Based on the Screenplay by Joss Whedon",1416502882,ABIS_BOOK,R_2VgZ0EttZLvI0QY,7.72
2018-10-26,25.99,1.0,IA,#Max Out Your Life: Strategies for Becoming an Elite Performer,1641840293,ABIS_BOOK,R_3MiitRUPo2lzgV0,25.99
2022-10-21,13.44,1.0,IA,"1,000 Places to See Before You Die: Revised Second Edition",0761156860,ABIS_BOOK,R_1GVsIStj8gTkbIE,13.44
2018-01-22,8.58,1.0,IA,"10% Happier: How I Tamed the Voice in My Head, Reduced Stress Without Losing My Edge, and Found Self-Help That Actually Works--A True Story",0062265431,ABIS_BOOK,R_CafRVMY9tv7DH7b,8.58
2020-01-08,11.95,1.0,IA,"100 Ways to Motivate Yourself, Third Edition: Change Your Life Forever (100 Ways Series)",1601632444,ABIS_BOOK,R_OOQi6Ec8MNCrIml,11.95
2018-02-04,6.42,1.0,IA,"1908 Sears, Roebuck Catalogue; A Treasured Replica from the Archives of History (1908 Catalogue No. 117)",B000GR9NUA,ABIS_BOOK,R_2wQqVnIFDz7CVjp,6.42
2020-07-02,7.58,1.0,IA,1984,0451524934,ABIS_BOOK,R_10UkIUlEKmHGVjy,7.58
2019-12-14,7.99,1.0,IA,2020 Planner Weekly and Monthly: January to December: Botanical Cover (2020 Pretty Simple Planners),1948209799,ABIS_BOOK,R_Om5DLvyVK2GS8Mh,7.99
2020-12-10,14.99,1.0,IA,21 Lessons for the 21st Century,0525512195,ABIS_BOOK,R_Om5DLvyVK2GS8Mh,14.99
2019-04-23,4.99,1.0,IA,3-Minute Devotions for Girls: 180 Inspirational Readings for Young Hearts,1628366389,ABIS_BOOK,R_3JK3aP5uRxffXiy,4.99
2019-12-18,4.95,1.0,IA,365 Jokes For Kids: A Joke A Day Book +5 Bonus Magic Tricks,0985056460,ABIS_BOOK,R_3GiFHVWzYKHT1F5,4.95
2020-10-14,8.95,1.0,IA,50 Real American Ghost Stories: A journey into the haunted history of the United States – 1800 to 1899,1909667137,ABIS_BOOK,R_3fAXOMLfzap9tua,8.95
2020-12-02,32.0,1.0,IA,A Cat's Tale: A Journey Through Feline History,1250217725,ABIS_BOOK,R_3fAXOMLfzap9tua,32.0
2021-09-24,1.07,1.0,IA,A Christmas Message,0778388220,ABIS_BOOK,R_1FWSWSjBuPMvSgx,1.07
2018-11-20,10.99,1.0,IA,A Crack In Creation: Gene Editing and the Unthinkable Power to Control Evolution,1328915360,ABIS_BOOK,R_2wQqVnIFDz7CVjp,10.99
2021-11-23,17.19,1.0,IA,"A Desolation Called Peace (Teixcalaan, 2)",1250186463,ABIS_BOOK,R_2wQqVnIFDz7CVjp,17.19
2018-05-01,4.94,1.0,IA,"A Home for Hannah: An Amish Romance (Brides of Amish Country, 7)",0373877579,ABIS_BOOK,R_1FWSWSjBuPMvSgx,4.94
2021-09-12,1.07,1.0,IA,A MacGregor Christmas: A 2-in-1 Collection (The MacGregors),1335147527,ABIS_BOOK,R_1FWSWSjBuPMvSgx,1.07
2021-10-10,8.84,1.0,IA,A Manual for Creating Atheists,1939578094,ABIS_BOOK,R_OOQi6Ec8MNCrIml,8.84
2019-03-03,5.44,1.0,IA,"A Match Made in Texas: A Clean Cowboy Romance (A Match Made in Texas, 2)",1492608165,ABIS_BOOK,R_1FWSWSjBuPMvSgx,5.44
2020-10-12,12.47,1.0,IA,"A Memory Called Empire (Teixcalaan, 1)",1250186447,ABIS_BOOK,R_2wQqVnIFDz7CVjp,12.47
2022-06-03,1.35,1.0,IA,A Mother's Gift,1420145320,ABIS_BOOK,R_1FWSWSjBuPMvSgx,1.35
2020-06-08,15.29,1.0,IA,A Nearly Normal Family: A Novel,1250204437,ABIS_BOOK,R_2fD6Jy2muMgaubH,15.29
2019-07-07,4.95,1.0,IA,"A Perfect Amish Match (Indiana Amish Brides, 3)",1335539158,ABIS_BOOK,R_1FWSWSjBuPMvSgx,4.95
2018-12-29,0.96,1.0,IA,A Perfect Square (A Shipshewana Amish Mystery),0310330440,ABIS_BOOK,R_1FWSWSjBuPMvSgx,0.96
2022-03-19,5.15,1.0,IA,A Place to Belong (Harlequin Selects),1335409874,ABIS_BOOK,R_1FWSWSjBuPMvSgx,5.15
2022-05-16,17.73,1.0,IA,A Promised Land,1524763160,ABIS_BOOK,R_2afdoudnLFPjXSo,17.73
2021-09-12,1.3,1.0,IA,A Rancher's Claim: A 2-in-1 Collection (Harl Mmp 2in1 Diana Palmer),1335550968,ABIS_BOOK,R_1FWSWSjBuPMvSgx,1.3
2022-02-11,6.7,1.0,IA,A Separation: A Novel,039957610X,ABIS_BOOK,R_2wQqVnIFDz7CVjp,6.7
2019-03-03,5.08,1.0,IA,A Simple Amish Christmas,1426710666,ABIS_BOOK,R_1FWSWSjBuPMvSgx,5.08
2020-04-22,5.18,1.0,IA,A Snowy Little Christmas,1420146084,ABIS_BOOK,R_1FWSWSjBuPMvSgx,5.18
2022-06-08,19.99,1.0,IA,A Soldier Of The Great War,0156031132,ABIS_BOOK,R_2fD6Jy2muMgaubH,19.99
2021-08-23,6.99,1.0,IA,A Swear Word Coloring Book for Adults: Eat A Bag of D*cks,1640011161,ABIS_BOOK,R_OOQi6Ec8MNCrIml,6.99
2021-05-21,6.99,1.0,IA,A Swear Word Coloring Book for Adults: Eat A Bag of D*cks,1640011161,ABIS_BOOK,R_OOQi6Ec8MNCrIml,6.99
2021-07-05,6.99,1.0,IA,A Swear Word Coloring Book for Adults: Eat A Bag of D*cks,1640011161,ABIS_BOOK,R_OOQi6Ec8MNCrIml,6.99
2018-09-09,19.11,1.0,IA,A Teacher's Guide to Classroom Assessment: Understanding and Using Assessment to Improve Student Learning,0787978779,ABIS_BOOK,R_1gLN6X8yWeRB4qo,19.11
2018-12-12,17.68,1.0,IA,A Terrible Country: A Novel,0735221316,ABIS_BOOK,R_2wQqVnIFDz7CVjp,17.68
2019-11-27,17.65,1.0,IA,A Theory of Jerks and Other Philosophical Misadventures (The MIT Press),0262043092,ABIS_BOOK,R_2wQqVnIFDz7CVjp,17.65
2020-12-09,7.99,1.0,IA,A Walk in the Woods: Rediscovering America on the Appalachian Trail,0307279464,ABIS_BOOK,R_2wQqVnIFDz7CVjp,7.99
2019-07-07,0.53,1.0,IA,"A Widow's Hope (Indiana Amish Brides, 1)",1335428224,ABIS_BOOK,R_1FWSWSjBuPMvSgx,0.53
2022-06-03,1.74,1.0,IA,A Wish Upon a Dress: A Novel,0778312216,ABIS_BOOK,R_1FWSWSjBuPMvSgx,1.74
2021-01-02,13.95,1.0,IA,"A World Undone: The Story of the Great War, 1914 to 1918",0553382403,ABIS_BOOK,R_3fAXOMLfzap9tua,13.95
2019-10-01,74.0,1.0,IA,A World of Hurt: A Guide to Classifying Pain,0985372915,ABIS_BOOK,R_3MiitRUPo2lzgV0,74.0
2021-11-23,11.59,1.0,IA,"Abaddon's Gate (The Expanse, 3)",0316129070,ABIS_BOOK,R_2wQqVnIFDz7CVjp,11.59
2020-05-13,37.49,1.0,IA,Admission Assessment Exam Review,0323353789,ABIS_BOOK,R_8piDwWBq7V7tyZb,37.49
2018-04-03,4.54,1.0,IA,"Adult Coloring Book: Island Dreams: Vacation, Summer and Beach: Dream and Relax with Gorgeous Illustrations",1539472647,ABIS_BOOK,R_22LhWfg76oW592Y,4.54
2020-10-14,4.79,1.0,IA,Adult Coloring Creative Kittens Coloring Book (Creative Haven Coloring Books),0486812677,ABIS_BOOK,R_3fAXOMLfzap9tua,4.79
2022-03-27,12.91,1.0,IA,"Air Fryer Perfection: From Crispy Fries and Juicy Steaks to Perfect Vegetables, What to Cook & How to Get the Best Results",1945256753,ABIS_BOOK,R_2wQqVnIFDz7CVjp,12.91
2018-06-04,8.0,1.0,IA,"Alas, Poor Darwin: Arguments Against Evolutionary Psychology",0609605135,ABIS_BOOK,R_2wQqVnIFDz7CVjp,8.0
2021-09-12,5.21,1.0,IA,"Alaskan Rescue (Alaska K-9 Unit, 1)",1335405127,ABIS_BOOK,R_1FWSWSjBuPMvSgx,5.21
2022-08-16,60.0,1.0,IA,"Alice Oseman 6 Books Collection Set (Solitaire, Loveless, This Winter, Radio Silence, Nick and Charlie, I Was Born for This)",9124209031,ABIS_BOOK,R_2fD6Jy2muMgaubH,60.0
2018-12-21,11.0,1.0,IA,All About Me: The Story of Your Life: Guided Journal,076790205X,ABIS_BOOK,R_1gLN6X8yWeRB4qo,11.0
2018-12-21,10.64,1.0,IA,All About Us: For the Two of You: Guided Journal,0767905016,ABIS_BOOK,R_1gLN6X8yWeRB4qo,10.64
2022-01-28,13.64,1.0,IA,All Boys Aren't Blue,0241515033,ABIS_BOOK,R_2wQqVnIFDz7CVjp,13.64
2020-09-17,13.39,1.0,IA,"All Systems Red: The Murderbot Diaries (The Murderbot Diaries, 1)",0765397536,ABIS_BOOK,R_2wQqVnIFDz7CVjp,13.39
2021-06-15,12.99,1.0,IA,All These Worlds (Bobiverse),1680680609,ABIS_BOOK,R_2wQqVnIFDz7CVjp,12.99
2018-12-07,10.87,1.0,IA,Altered Carbon (Takeshi Kovacs),0345457684,ABIS_BOOK,R_2wQqVnIFDz7CVjp,10.87
2019-07-07,1.0,1.0,IA,"Amish Christmas Memories (Indiana Amish Brides, 2)",1335428461,ABIS_BOOK,R_1FWSWSjBuPMvSgx,1.0
2019-06-02,5.64,1.0,IA,An Amish Family: Four Stories,0785217347,ABIS_BOOK,R_1FWSWSjBuPMvSgx,5.64
2020-10-07,5.72,1.0,IA,An Amish Family: Four Stories,0785217347,ABIS_BOOK,R_1FWSWSjBuPMvSgx,5.72
2022-03-19,1.42,1.0,IA,An Amish Flower Farm,195221050X,ABIS_BOOK,R_1FWSWSjBuPMvSgx,1.42
2018-06-10,4.98,1.0,IA,An Amish Harvest: Four Novellas,052911853X,ABIS_BOOK,R_1FWSWSjBuPMvSgx,4.98
2018-06-10,4.99,1.0,IA,An Amish Market: Four Novellas,0529118688,ABIS_BOOK,R_1FWSWSjBuPMvSgx,4.99
2020-04-19,12.78,1.0,IA,An Amish Picnic: Four Stories,0310357888,ABIS_BOOK,R_1FWSWSjBuPMvSgx,12.78
2020-05-19,1.23,1.0,IA,An Amish Wife for Christmas (North Country Amish),1335509828,ABIS_BOOK,R_1FWSWSjBuPMvSgx,1.23
2018-09-09,40.0,1.0,IA,An EasyGuide to APA Style (EasyGuide Series),1483383237,ABIS_BOOK,R_1gLN6X8yWeRB4qo,40.0
2023-01-08,1.48,1.0,IA,An Illustrated Book of Bad Arguments,1615192255,ABIS_BOOK,R_OOQi6Ec8MNCrIml,1.48
2018-09-02,5.48,1.0,IA,An Unbroken Heart (An Amish of Birch Creek Novel),0718033183,ABIS_BOOK,R_1FWSWSjBuPMvSgx,5.48
2020-10-07,0.87,1.0,IA,"An Unlikely Amish Match (Indiana Amish Brides, 5)",133548793X,ABIS_BOOK,R_1FWSWSjBuPMvSgx,0.87
2021-12-21,17.99,1.0,IA,Angel Answers Oracle Cards: A 44-Card Deck and Guidebook,1401959245,ABIS_BOOK,R_24wSwlKgzswC6p1,17.99
2020-05-01,12.02,1.0,IA,Anti-Tech Revolution: Why and How,1944228020,ABIS_BOOK,R_3MiitRUPo2lzgV0,12.02
2020-12-20,12.18,1.0,IA,Arrested Development and Philosophy: They've Made a Huge Mistake,047057559X,ABIS_BOOK,R_3fAXOMLfzap9tua,12.18
2018-11-20,8.03,1.0,IA,Arthur Ashe: A Life,1439189048,ABIS_BOOK,R_2wQqVnIFDz7CVjp,8.03
2020-09-17,14.27,1.0,IA,"Artificial Condition: The Murderbot Diaries (The Murderbot Diaries, 2)",1250186927,ABIS_BOOK,R_2wQqVnIFDz7CVjp,14.27
2019-12-04,5.79,1.0,IA,As Brave As You,1481415913,ABIS_BOOK,R_2wQqVnIFDz7CVjp,5.79
2022-08-15,141.23,1.0,IA,Assessment in Speech-Language Pathology (A Resource Manual),1635502047,ABIS_BOOK,R_OdOK4CH8YxSw3Sx,141.23
2021-05-30,7.95,1.0,IA,Asylums: Essays on the Social Situation of Mental Patients and Other Inmates,0385000162,ABIS_BOOK,R_2BlHZxuSDn1CqwC,7.95
2019-07-07,4.97,1.0,IA,At Sunrise: An Anthology,1335984127,ABIS_BOOK,R_1FWSWSjBuPMvSgx,4.97
2022-11-06,11.98,1.0,IA,Atomic Habits: An Easy & Proven Way to Build Good Habits & Break Bad Ones,0735211299,ABIS_BOOK,R_2wQqVnIFDz7CVjp,11.98
2023-01-15,14.11,1.0,IA,Atomic Habits: An Easy & Proven Way to Build Good Habits & Break Bad Ones,0735211299,ABIS_BOOK,R_2afdoudnLFPjXSo,14.11
2019-01-21,16.2,1.0,IA,Atomic Habits: An Easy & Proven Way to Build Good Habits & Break Bad Ones,0735211299,ABIS_BOOK,R_OOQi6Ec8MNCrIml,16.2
2021-05-05,12.79,1.0,IA,Attached: The New Science of Adult Attachment and How It Can Help YouFind - and Keep - Love,1585429139,ABIS_BOOK,R_24wSwlKgzswC6p1,12.79
2023-01-08,8.49,1.0,IA,Audubon Birds Page-A-Day Calendar 2023: The World's Favorite Bird Calendar,1523515783,ABIS_BOOK,R_1PRE6htgNiTE6sa,8.49
2019-10-30,5.09,1.0,IA,Autumn Dreams (Seaside Seasons #3),1590521277,ABIS_BOOK,R_1FWSWSjBuPMvSgx,5.09
