Order Date,Purchase Price Per Unit,Quantity,Shipping Address State,Title,ASIN/ISBN (Product Code),Category,Survey ResponseID,Total Value
2022-07-13,9.34,1.0,ID,Comgrow Magnetic 3D Printer Build Surface Ultra Flexible Removable Heated Bed Cover for Ender 3/Ender 3 pro/Ender 3 V2 Neo/Ender 3 Neo/Ender 3 S1/Ender 3 S1 Pro/Ender 5 3D Printer 235X235MM,B097GVFTSM,3D_PRINTER,R_3iJPosktkZFzmM4,9.34
2021-04-11,19.99,1.0,ID,"Creality Ender 3,Ender 3 pro,Ender 3 v2 Upgarde Bowden Tube Capricorn Premium XS Bowden Tubing, Metal Feeder Extruder Frame and Die Spring for,Ender 3 Max,Ender 5 Pro,Ender 5 Pro/Plus,CR-10S",B07V5VJ29X,3D_PRINTER,R_3iJPosktkZFzmM4,19.99
2021-04-21,11.99,1.0,ID,"ExcelFu Big Plastic Pulley Wheel with Bearing Idler Pulley Gear Perlin Wheel for 3D Printer, Pack of 10",B07GF9VGHD,3D_PRINTER,R_3iJPosktkZFzmM4,11.99
2022-07-02,429.0,1.0,ID,"Official Creality 3D Printer Ender 3 S1 with CR Touch Auto Leveling, Sprite Extruder, High Precision Z-axis, Removable PC Build Plate, FDM 3D Printer for Beginners Professional 8.66""x 8.66"" x 10.63""",B09KMYQNGJ,3D_PRINTER,R_3iJPosktkZFzmM4,429.0
2021-04-04,279.0,1.0,ID,"Official Creality Ender 3 V2 Upgraded 3D Printer with Silent Motherboard Branded Power Supply Carborundum Glass Platform Resume Printing Function, DIY FDM 3D Printers Build Size 8.66x8.66x9.84 inch",B07FFTHMMN,3D_PRINTER,R_3iJPosktkZFzmM4,279.0
2021-04-10,13.99,1.0,ID,Hawk Sports Ab Straps Hanging Abdominal Slings for Pullup Bar Chinup Exercise Abs Stimulator Trainer Toner Home Gym Fitness Ab Workout Equipment for Men & Women,B088SR97T6,ABDOMINAL_EXERCISER,R_2QLigoO9nrSSnPT,13.99
2018-11-14,13.94,1.0,ID,"1,000 Foods To Eat Before You Die: A Food Lover's Life List",0761141685,ABIS_BOOK,R_1C7NqhhPa152vIZ,13.94
2019-12-16,17.39,1.0,ID,"100 Parks, 5,000 Ideas: Where to Go, When to Go, What to See, What to Do",1426220103,ABIS_BOOK,R_3O9aPnM7ixjsbYK,17.39
2022-02-17,8.1,1.0,ID,"13 Things Mentally Strong Parents Don't Do: Raising Self-Assured Children and Training Their Brains for a Life of Happiness, Meaning, and Success",62565737,ABIS_BOOK,R_28SckJ1LanzFPvD,8.1
2023-02-19,14.95,1.0,ID,1939 US Yearbook: Original book full of facts and figures from 1939 - Unique birthday gift / present idea.,1790459826,ABIS_BOOK,R_1GWHQwmLGiIkYBH,14.95
2021-12-20,13.79,1.0,ID,2022 Night Sky Almanac: A Month-by-Month Guide to North America's Skies from the Royal Astronomical Society of Canada (Guide to the Night Sky),0228103266,ABIS_BOOK,R_22Psw7KTkXTMEGl,13.79
2021-08-26,5.99,1.0,ID,50 Shades Of Bullsh*t: Dark Edition: Swear Word Coloring Book,2376190029,ABIS_BOOK,R_1msYd9aPVkQcY8T,5.99
2019-12-16,14.97,1.0,ID,"50 States, 5,000 Ideas: Where to Go, When to Go, What to See, What to Do",1426216904,ABIS_BOOK,R_3O9aPnM7ixjsbYK,14.97
2020-12-02,29.0,1.0,ID,A Beautifully Foolish Endeavor: A Novel (The Carls),059315228X,ABIS_BOOK,R_3O9aPnM7ixjsbYK,29.0
2019-02-10,9.99,1.0,ID,A Gift of Gratitude: A Community Book Project,1793495564,ABIS_BOOK,R_8cr0J12EMKs9NND,9.99
2020-12-17,23.96,1.0,ID,A Promised Land,1524763160,ABIS_BOOK,R_x62lMGkpgmmlnrz,23.96
2019-08-23,10.1,1.0,ID,A Woman's Guide to the Wild: Your Complete Outdoor Handbook (Her Guide to the Wild),1632170051,ABIS_BOOK,R_8cr0J12EMKs9NND,10.1
