Order Date,Purchase Price Per Unit,Quantity,Shipping Address State,Title,ASIN/ISBN (Product Code),Category,Survey ResponseID,Total Value
2021-01-04,4.75,1.0,KS,"1-Count Knock Knock Nag Note Sticky Notes, to Do List Notepad, 3 x 3-inches, 100 Sheets Each",1601062435,ABIS_BOOK,R_27ydwfqncX77Mnd,4.75
2021-10-06,10.8,1.0,KS,100 Large-Print Crossword Puzzles: Easy Puzzles to Entertain Your Brain,1646116097,ABIS_BOOK,R_2bTLZFP7p4CPlTT,10.8
2020-07-17,13.52,1.0,KS,100 Mystery Illustrations to Unveil: A Color-by-Number and Dot-to-Dot Book,1441326545,ABIS_BOOK,R_3n2VXT4Z99FpnEG,13.52
2021-09-02,11.69,1.0,KS,100 Task Cards: Informational Text: Reproducible Mini-Passages With Key Questions to Boost Reading Comprehension Skills,1338112996,ABIS_BOOK,R_voSNwyVcZWdCTJv,11.69
2021-12-10,20.49,1.0,KS,"100 Techniques: Master a Lifetime of Cooking Skills, from Basic to Bucket List (ATK 100 Series)",1945256931,ABIS_BOOK,R_voSNwyVcZWdCTJv,20.49
2022-08-03,16.79,1.0,KS,100 Things to Do in Wichita Before You Die (100 Things to Do Before You Die),1681063573,ABIS_BOOK,R_6AqJMmFQ2N3H7G1,16.79
2021-12-03,15.34,1.0,KS,"1001 Chess Exercises for Beginners: The Tactics Workbook that Explains the Basic Concepts, Too",9056913972,ABIS_BOOK,R_3G1gYo1d23Zq8Np,15.34
2018-01-19,13.49,1.0,KS,1984,1328869334,ABIS_BOOK,R_1IaYiTSaUaD2W2i,13.49
2021-11-29,14.69,1.0,KS,2000s Made Me Gay,1250760143,ABIS_BOOK,R_1IaYiTSaUaD2W2i,14.69
2020-04-26,6.59,1.0,KS,2020 Navy Blue Small Weekly Monthly Spiral Planner,1643323512,ABIS_BOOK,R_3n2VXT4Z99FpnEG,6.59
2019-07-02,5.47,1.0,KS,2020-2021 So Many Cats 2-Year Small Pocket Planner Calendar,1643323911,ABIS_BOOK,R_2bTLZFP7p4CPlTT,5.47
2021-04-15,6.99,1.0,KS,2022-23 Watercolor Garden 2-Year Pocket Planner (24-Month Calendar),1441336435,ABIS_BOOK,R_2bTLZFP7p4CPlTT,6.99
2018-01-11,31.13,1.0,KS,40 Short Stories: A Portable Anthology,1319035388,ABIS_BOOK,R_3EKbufgfGp0iJqN,31.13
2021-09-29,12.99,1.0,KS,40-Love (There's Something About Marysburg),194583613X,ABIS_BOOK,R_3G1gYo1d23Zq8Np,12.99
2021-07-15,11.69,1.0,KS,5-Ingredient Smoothie Recipe Book: 100 Nutrient-Packed Smoothies,164876620X,ABIS_BOOK,R_voSNwyVcZWdCTJv,11.69
2018-12-14,9.99,1.0,KS,5-Minute Marvel Stories (5-Minute Stories),1423167228,ABIS_BOOK,R_2DV0bsqugjyav1y,9.99
2019-11-19,7.45,1.0,KS,5-Minute Spider-Man Stories (5-Minute Stories),1484781422,ABIS_BOOK,R_2DV0bsqugjyav1y,7.45
2021-08-25,4.99,1.0,KS,"50 AUTUMN MINIATURES: A Fall Coloring Book, Featuring 50 Cute Autumn and Halloween Illustrations of Adorable Fall Animals, Pumpkins, Flowers, Cute and ... Houses, Whimsical Fall Scenes, and Much More",B08HQ1YJMY,ABIS_BOOK,R_3n2VXT4Z99FpnEG,4.99
2020-11-25,4.99,1.0,KS,"50 WINTER MINIATURES: A Winter Coloring Book, Featuring 50 Beautiful Winter and Christmas Illustrations of Cute Little Animals, Creative Fairy Houses, Festive Scenes, and Much More",B08M2LSDPY,ABIS_BOOK,R_3n2VXT4Z99FpnEG,4.99
2020-08-20,10.42,1.0,KS,52 Lists for Calm: Journaling Inspiration for Soothing Anxiety and Creating a Peaceful Life (A Self Care Journal with Inspiring Prompts for Mindfulness and Stress Relief),1632172852,ABIS_BOOK,R_1IaYiTSaUaD2W2i,10.42
2021-08-07,9.98,1.0,KS,5th Grade Word of The Day 800+ Spelling Words Workbook: Fifth Grade Learn A New Word Everyday Enhance Vocabulary Builder Exercise Activity Worksheets ... Sheets For Homeschool Curriculum or Classroom,1079829822,ABIS_BOOK,R_voSNwyVcZWdCTJv,9.98
2019-02-02,15.26,1.0,KS,"642 Things to Draw: Inspirational Sketchbook to Entertain and Provoke the Imagination (Drawing Books, Art Journals, Doodle Books, Gifts for Artist)",0811876446,ABIS_BOOK,R_1IaYiTSaUaD2W2i,15.26
2022-03-01,8.39,1.0,KS,A Baby's Gift,0694016381,ABIS_BOOK,R_3n2bkmbpmkU4gYf,8.39
2020-03-19,8.49,1.0,KS,A Beginner's Book of Prayer: An Introduction to Traditional Catholic Prayers,0829427929,ABIS_BOOK,R_3n2VXT4Z99FpnEG,8.49
2021-03-12,5.95,1.0,KS,A Christmas Carol,1514696584,ABIS_BOOK,R_2s5YO3cdqKDFyIM,5.95
2018-03-18,7.87,1.0,KS,A Dangerous Fortune: A Novel,0440217490,ABIS_BOOK,R_3n2VXT4Z99FpnEG,7.87
2018-11-12,9.99,1.0,KS,"A Darkling Plain (Mortal Engines, Book 4)",1338201158,ABIS_BOOK,R_2s5YO3cdqKDFyIM,9.99
2021-10-10,13.99,1.0,KS,A Deadly Education: A Novel (The Scholomance),0593128508,ABIS_BOOK,R_2DV0bsqugjyav1y,13.99
2018-11-23,10.07,1.0,KS,A Light in the Window,0140254544,ABIS_BOOK,R_3n2VXT4Z99FpnEG,10.07
2021-09-24,6.79,1.0,KS,A Little Bit of Buddha: An Introduction to Buddhist Thought (Volume 2) (Little Bit Series),1454913029,ABIS_BOOK,R_3n2VXT4Z99FpnEG,6.79
2021-09-24,8.99,1.0,KS,A Little Bit of Intuition: An Introduction to Extrasensory Perception (Volume 19) (Little Bit Series),1454936762,ABIS_BOOK,R_3n2VXT4Z99FpnEG,8.99
2021-09-24,8.59,1.0,KS,A Little Bit of Mindfulness: An Introduction to Being Present (Volume 13) (Little Bit Series),1454932244,ABIS_BOOK,R_3n2VXT4Z99FpnEG,8.59
2021-09-24,6.74,1.0,KS,A Little Bit of Wicca: An Introduction to Witchcraft (Volume 8) (Little Bit Series),1454927127,ABIS_BOOK,R_3n2VXT4Z99FpnEG,6.74
2020-09-29,8.98,1.0,KS,A Man Called Ove: A Novel,1476738025,ABIS_BOOK,R_XYeZSVkzBQBQtBD,8.98
2020-07-10,4.99,1.0,KS,A New Reindeer Friend (Disney Frozen) (Little Golden Book),0736433511,ABIS_BOOK,R_2DV0bsqugjyav1y,4.99
2018-12-23,12.95,1.0,KS,A Pixie's Promise (The Enchanted Kitchen),1940924340,ABIS_BOOK,R_3n2VXT4Z99FpnEG,12.95
2020-04-02,4.99,1.0,KS,A Poor Excuse for a Dragon (Step into Reading),375868674,ABIS_BOOK,R_1Fyt6rHyiQcVOT8,4.99
2022-09-21,29.99,1.0,KS,A Practical Guide to Recovery-Oriented Practice: Tools for Transforming Mental Health Care,0195304772,ABIS_BOOK,R_2DV0bsqugjyav1y,29.99
2018-01-09,3.0,1.0,KS,"A River Runs Through It and Other Stories, Twenty-fifth Anniversary Edition",0226500667,ABIS_BOOK,R_23eD9Db68xpXl0d,3.0
2018-01-09,6.72,1.0,KS,A Sand County Almanac and Sketches Here and There,0195007778,ABIS_BOOK,R_23eD9Db68xpXl0d,6.72
2022-02-07,14.0,1.0,KS,A Slow Fire Burning: A Novel,073521123X,ABIS_BOOK,R_1IaYiTSaUaD2W2i,14.0
2018-01-11,11.48,1.0,KS,A Thousand Splendid Suns,1594489505,ABIS_BOOK,R_3EKbufgfGp0iJqN,11.48
2019-11-19,18.07,1.0,KS,A Warning,1538718464,ABIS_BOOK,R_3n2VXT4Z99FpnEG,18.07
2018-12-23,6.93,1.0,KS,A Witch's Kitchen,1940924189,ABIS_BOOK,R_3n2VXT4Z99FpnEG,6.93
2020-07-22,1.99,1.0,KS,ABC Flashcards: Scholastic Early Learners (Flashcards),0545903335,ABIS_BOOK,R_1C75XRebT1eliL0,1.99
2018-06-24,7.99,1.0,KS,"ABCs of Space: Explore Astronomy, Space, and our Solar System with this Essential STEM Board Book for Kids (Science Gifts for Kids) (Baby University)",1492671126,ABIS_BOOK,R_21ntohm9l0O4R0Y,7.99
2021-08-23,6.95,1.0,KS,APA Guidelines: A Quickstudy Reference Guide,1423244095,ABIS_BOOK,R_1IaYiTSaUaD2W2i,6.95
2022-01-30,17.15,1.0,KS,AWS Certified Solutions Architect Study Guide: Associate SAA-C01 Exam,111950421X,ABIS_BOOK,R_XnUU1fZEhQ2Sa4N,17.15
2022-03-25,17.59,1.0,KS,Accidentally Wes Anderson,0316492736,ABIS_BOOK,R_3n2VXT4Z99FpnEG,17.59
2018-01-11,11.21,1.0,KS,Accounting and Financial Fundamentals for NonFinancial Executives,0814479286,ABIS_BOOK,R_3EKbufgfGp0iJqN,11.21
2020-06-02,9.49,1.0,KS,"Ada Twist, Scientist (The Questioneers)",1419721372,ABIS_BOOK,R_2DV0bsqugjyav1y,9.49
2019-11-18,14.99,1.0,KS,Addicted to Scraps: 12 Vibrant Quilt Projects,161745303X,ABIS_BOOK,R_1C75XRebT1eliL0,14.99
2018-07-14,3.99,1.0,KS,Adult Coloring Book: 50 Relaxing Flower Designs with Mandala Inspired Patterns for Stress Relief,1983369772,ABIS_BOOK,R_3n2VXT4Z99FpnEG,3.99
2020-08-17,88.3,1.0,KS,Advanced Health Assessment & Clinical Diagnosis in Primary Care,0323554962,ABIS_BOOK,R_2DV0bsqugjyav1y,88.3
2021-09-17,14.99,1.0,KS,Advanced Physical Chemistry: A Romantic Comedy (Chemistry Lessons),0999094831,ABIS_BOOK,R_3G1gYo1d23Zq8Np,14.99
2019-08-09,41.72,1.0,KS,Advanced Practice Nursing Roles: Core Concepts for Professional Development,0826161529,ABIS_BOOK,R_2DV0bsqugjyav1y,41.72
2021-08-10,73.95,1.0,KS,"Advanced Practice Psychiatric Nursing, Second Edition: Integrating Psychotherapy, Psychopharmacology, and Complementary and Alternative Approaches Across the Life Span",0826132537,ABIS_BOOK,R_2DV0bsqugjyav1y,73.95
2018-04-05,18.37,1.0,KS,African Soccerscapes: How a Continent Changed the World’s Game (Africa in World History),0896802787,ABIS_BOOK,R_1OrTsiPCkAlmb0N,18.37
2019-09-22,10.14,1.0,KS,After the Fall,1783446358,ABIS_BOOK,R_3n2VXT4Z99FpnEG,10.14
2022-07-08,11.99,1.0,KS,"Airman Knowledge Testing Supplement for Sport Pilot, Recreational Pilot, Remote Pilot, and Private Pilot: FAA-CT-8080-2H Color Print",B09QFDHM8Y,ABIS_BOOK,R_1Fyt6rHyiQcVOT8,11.99
2021-03-03,5.99,1.0,KS,Aladdin Deluxe Step into Reading (Disney Aladdin),0736439471,ABIS_BOOK,R_2DV0bsqugjyav1y,5.99
2022-06-21,16.99,1.0,KS,Alaska's Mysterious Triangle,1735668990,ABIS_BOOK,R_2alybIrtMFx3zDD,16.99
2019-01-07,7.39,1.0,KS,All Summer Long (Eagle Rock Series),0374310718,ABIS_BOOK,R_3n2VXT4Z99FpnEG,7.39
2019-09-04,27.52,1.0,KS,"All-in-One Teaching Resources, Chapters 1-4, Prentice Hall Mathematics Algebra Readiness",0133721345,ABIS_BOOK,R_3n2VXT4Z99FpnEG,27.52
2021-08-05,21.99,1.0,KS,American Gods Volume 1: Shadows (Graphic Novel),1506703860,ABIS_BOOK,R_3n2VXT4Z99FpnEG,21.99
2021-08-08,17.41,1.0,KS,American Gods Volume 2: My Ainsel (Graphic Novel),1506707300,ABIS_BOOK,R_3n2VXT4Z99FpnEG,17.41
2018-01-14,14.6,1.0,KS,An Age Of License,1606997688,ABIS_BOOK,R_1OrTsiPCkAlmb0N,14.6
2018-11-05,46.49,1.0,KS,"An Integrative Approach to Leader Development: Connecting Adult Development, Identity, and Expertise",0415964636,ABIS_BOOK,R_2s5YO3cdqKDFyIM,46.49
