Order Date,Purchase Price Per Unit,Quantity,Shipping Address State,Title,ASIN/ISBN (Product Code),Category,Survey ResponseID,Total Value
2021-11-12,9.97,1.0,LA,"Elite Sportz Core Sliders for Working Out - Pack of 2 Compact, Dual Sided Gliding Discs for Full Body Workout on Carpet or Hardwood Floor - Fitness & Home Exercise Equipment - Small Gift for Athletes",B010ULN8YI,ABDOMINAL_EXERCISER,R_4JBCc8ejkMh89Bn,9.97
2020-03-02,29.99,1.0,LA,JAEZZIY Ab Roller for Abs Workout - Ab Carver Pro Roller Wheel Abdominal Exercise Equipment for Home Gym with Knee Pad,B082VVFNXQ,ABDOMINAL_EXERCISER,R_3ezBqJzPjKM0Dfa,29.99
2021-08-03,23.49,1.0,LA,Mothermed EMS Waist Trimmer Fitness Belt Abs Stimulator Muscle Toner Electrode Slimming Trainer Belts Abdomen Belly Workout Toning Massager Home Exercise Belt for Men and Women Arm Thigh Leg Butt,B07BFP43WW,ABDOMINAL_EXERCISER,R_1f1b2XV62MRdXjw,23.49
2021-08-01,9.99,1.0,LA,"PAMASE 50Pcs/80Pcs Abs Stimulator Training Replacement Gel Sheet Pads for Abdominal Muscle Trainer, Accessory for Ab Workout Toning Belt",B07D6GMN6G,ABDOMINAL_EXERCISER,R_1f1b2XV62MRdXjw,9.99
2018-01-17,9.0,1.0,LA,"Sunny Health & Fitness Ab Roller Wheel for Abdominal Exercise Core Trainer Wheel Roller - NO. 003 , Black",B0016BJ5N0,ABDOMINAL_EXERCISER,R_1ot2z2xc5wpqufx,9.0
2021-08-01,9.99,1.0,LA,UYGHHK 24pcs Hip Trainer Gel Pads ABS Gel Pad Replacement for EMS Buttock Trainer ABS Replacement Gel Sheet for ABS Hip Trainer Butt Toner,B07T33679M,ABDOMINAL_EXERCISER,R_1f1b2XV62MRdXjw,9.99
2018-10-06,22.48,1.0,LA,"1,000 Books to Read Before You Die: A Life-Changing List",1523504455,ABIS_BOOK,R_qxvTDbUnkvlzstP,22.48
2019-02-13,23.11,1.0,LA,"10 Actual, Official LSAT PrepTests Volume VI: (PrepTests 72–81)",0998339784,ABIS_BOOK,R_1ot2z2xc5wpqufx,23.11
2018-07-03,5.99,1.0,LA,"101 So Bad, They're Good Dad Jokes",1973749122,ABIS_BOOK,R_2Bg2FwMbTIyoh0G,5.99
2022-08-21,12.83,1.0,LA,12 Rules for Life: An Antidote to Chaos,0141988517,ABIS_BOOK,R_XsQ88Q0fyB4ya7n,12.83
2018-03-05,15.57,1.0,LA,12 Rules for Life: An Antidote to Chaos,0345816021,ABIS_BOOK,R_qxvTDbUnkvlzstP,15.57
2022-12-12,18.49,1.0,LA,1984: The Graphic Novel,0358359929,ABIS_BOOK,R_1ePFtJLT63QEZUA,18.49
2019-02-09,13.56,1.0,LA,2019 Rand McNally Large Scale Road Atlas,0528019635,ABIS_BOOK,R_1prtkRarVfaLJU8,13.56
2022-07-06,17.99,1.0,LA,2023 She Believed She Could So She F*cking Did Planner: 17-Month Weekly Organizer for Women with Stickers to Get Shit Done (Thru December 2023) (Calendars & Gifts to Swear By),1728250048,ABIS_BOOK,R_2fjlGgn57pSPgdU,17.99
2020-04-17,4.99,1.0,LA,3-Minute Devotions for Guys: 180 Encouraging Readings for Teens,1630588571,ABIS_BOOK,R_10uU7A3PqkL1i0o,4.99
2018-01-27,11.55,1.0,LA,300 Arguments: Essays,1555977642,ABIS_BOOK,R_3qpxa4Aw8i6qG91,11.55
2022-10-06,23.24,1.0,LA,45 Techniques Every Counselor Should Know (Merrill Counseling),0134694899,ABIS_BOOK,R_2uTysluImvxkQBY,23.24
2020-10-13,7.95,1.0,LA,52 Simple Reasons Why I Love You (Written by Me),1541306147,ABIS_BOOK,R_3ezBqJzPjKM0Dfa,7.95
2022-06-15,9.18,1.0,LA,52-Week Devotional for Girls: Prayers for Growth and Inspiration,1648763642,ABIS_BOOK,R_3DdbPgFadLDrK7U,9.18
2019-12-19,10.96,1.0,LA,99 Stories I Could Tell: A Doodlebook To Help You Create,62748351,ABIS_BOOK,R_55BKHeW1aOzYOUp,10.96
2020-07-05,6.99,1.0,LA,A Beginner's Guide to the Stock Market: Everything You Need to Start Making Money Today,1099617200,ABIS_BOOK,R_1ePFtJLT63QEZUA,6.99
2020-08-04,42.58,1.0,LA,A Book of Middle English,1405117095,ABIS_BOOK,R_085qq7w0pkhowox,42.58
2020-05-02,9.95,1.0,LA,A Bowl of Red,1585442097,ABIS_BOOK,R_qxvTDbUnkvlzstP,9.95
2019-06-26,9.48,1.0,LA,A Brief History of Vice: How Bad Behavior Built Civilization,0147517605,ABIS_BOOK,R_2ToRb0eNQrFNM3u,9.48
2021-07-23,7.99,1.0,LA,"A Butterfly Is Patient: (Nature Books for Kids, Children's Books Ages 3-5, Award Winning Children's Books) (Sylvia Long)",145214124X,ABIS_BOOK,R_55BKHeW1aOzYOUp,7.99
2019-02-16,3.97,1.0,LA,A Child's Garden of Verses,0689823827,ABIS_BOOK,R_3GBSX5xvcH0uSyx,3.97
2020-03-17,18.39,1.0,LA,A Conspiracy of Bones (19) (A Temperance Brennan Novel),1982138882,ABIS_BOOK,R_294CXFq1Cuh1Jxw,18.39
2021-09-28,14.99,1.0,LA,"A Court of Mist and Fury (A Court of Thorns and Roses, 2)",1635575583,ABIS_BOOK,R_3nTxfoDtuXTyMgE,14.99
2021-08-28,10.8,1.0,LA,"A Court of Thorns and Roses (A Court of Thorns and Roses, 1)",1635575567,ABIS_BOOK,R_3nTxfoDtuXTyMgE,10.8
2020-12-11,8.79,1.0,LA,A Daily Dose of Dad Jokes: 365 Truly Terrible Wisecracks (You've Been Warned),1641526556,ABIS_BOOK,R_2uP7oZgquEAtCqZ,8.79
2021-06-08,3.4,1.0,LA,A Depressed Christian's Mind: A Memoir,0578498243,ABIS_BOOK,R_3ezBqJzPjKM0Dfa,3.4
2020-04-14,12.99,1.0,LA,A Drop of the Hard Stuff (Matthew Scudder),0316127337,ABIS_BOOK,R_qxvTDbUnkvlzstP,12.99
2020-12-10,17.81,1.0,LA,A Foray into the Worlds of Animals and Humans: with A Theory of Meaning (Volume 12) (Posthumanities),0816659001,ABIS_BOOK,R_31FBFlPtMYUheEy,17.81
2021-09-07,18.26,1.0,LA,A Glossary of Literary Terms,8131526356,ABIS_BOOK,R_085qq7w0pkhowox,18.26
2020-01-14,22.99,1.0,LA,A Guide to Crisis Intervention,1337566411,ABIS_BOOK,R_3JxER5vDQfktCDo,22.99
