Order Date,Purchase Price Per Unit,Quantity,Shipping Address State,Title,ASIN/ISBN (Product Code),Category,Survey ResponseID,Total Value
2019-12-08,55.99,1.0,ME,Core Max Smart Abs and Total Body Workout Cardio Home Gym,B07VGP3NZM,ABDOMINAL_EXERCISER,R_27EkAmfedK6OHpp,55.99
2021-11-17,39.99,1.0,ME,"Dumoyi Smart Weighted Fit Hoop for Adults Weight Loss, 24 Detachable Knots, 2 in 1 Adomen Fitness Massage, Great for Adults and Beginners",B0924TRVH5,ABDOMINAL_EXERCISER,R_3Jx8193TYiav93D,39.99
2020-07-11,25.79,1.0,ME,152 of the World's Most Beautiful Songs,0739086243,ABIS_BOOK,R_3qR5wS7Yfxu0S0B,25.79
2020-07-26,25.79,1.0,ME,152 of the World's Most Beautiful Songs,0739086243,ABIS_BOOK,R_3qR5wS7Yfxu0S0B,25.79
2021-02-10,12.69,1.0,ME,"180 Days of Math: Grade 3 - Daily Math Practice Workbook for Classroom and Home, Cool and Fun Math, Elementary School Level Activities Created by Teachers to Master Challenging Concepts",1425808069,ABIS_BOOK,R_Bz9qIb3FhzjeBbz,12.69
2019-09-18,22.77,1.0,ME,180 Days of Problem Solving for Fifth Grade – Build Math Fluency with this 5th Grade Math Workbook (180 Days of Practice),1425816177,ABIS_BOOK,R_Bz9qIb3FhzjeBbz,22.77
2019-09-20,15.06,1.0,ME,180 Days of Problem Solving for Fourth Grade – Build Math Fluency with this 4th Grade Math Workbook (180 Days of Practice),1425816169,ABIS_BOOK,R_Bz9qIb3FhzjeBbz,15.06
2019-09-20,20.69,1.0,ME,180 Days of Problem Solving for Second Grade – Build Math Fluency with this 2nd Grade Math Workbook (180 Days of Practice),1425816142,ABIS_BOOK,R_Bz9qIb3FhzjeBbz,20.69
2019-09-18,16.28,1.0,ME,180 Days of Problem Solving for Sixth Grade – Build Math Fluency with this 6th Grade Math Workbook (180 Days of Practice),1425816185,ABIS_BOOK,R_Bz9qIb3FhzjeBbz,16.28
2019-09-20,21.28,1.0,ME,180 Days of Problem Solving for Third Grade – Build Math Fluency with this 3rd Grade Math Workbook (180 Days of Practice),1425816150,ABIS_BOOK,R_Bz9qIb3FhzjeBbz,21.28
2018-09-16,11.79,1.0,ME,"399 Games, Puzzles & Trivia Challenges Specially Designed to Keep Your Brain Young.",761168257,ABIS_BOOK,R_27EkAmfedK6OHpp,11.79
2018-07-30,12.76,1.0,ME,"399 Games, Puzzles & Trivia Challenges Specially Designed to Keep Your Brain Young.",761168257,ABIS_BOOK,R_27EkAmfedK6OHpp,12.76
2018-09-18,7.25,1.0,ME,A Closer Look: Conservation of Paintings,1857094417,ABIS_BOOK,R_3Jx8193TYiav93D,7.25
2022-08-17,14.99,1.0,ME,"A Court of Silver Flames (A Court of Thorns and Roses, 5)",1635577993,ABIS_BOOK,R_Bz9qIb3FhzjeBbz,14.99
2022-06-29,3.0,1.0,ME,A Doll's House (Dover Thrift Editions: Plays),0486270629,ABIS_BOOK,R_Bz9qIb3FhzjeBbz,3.0
2019-12-10,25.13,1.0,ME,A Framework for Understanding Poverty - A Cognitive Approach (Sixth Edition),1948244187,ABIS_BOOK,R_27EkAmfedK6OHpp,25.13
2022-10-28,7.43,1.0,ME,A Long Way Gone: Memoirs of a Boy Soldier,0374531269,ABIS_BOOK,R_ptIjtL7ul8DEU4V,7.43
2018-02-04,6.98,1.0,ME,A Madness So Discreet,0062320874,ABIS_BOOK,R_Bz9qIb3FhzjeBbz,6.98
2018-06-16,16.65,1.0,ME,A Mindfulness-Based Stress Reduction Workbook (A New Harbinger Self-Help Workbook),1572247088,ABIS_BOOK,R_Bz9qIb3FhzjeBbz,16.65
2019-05-13,7.41,1.0,ME,A More Perfect Union: The Story of Our Constitution,0688101925,ABIS_BOOK,R_Bz9qIb3FhzjeBbz,7.41
2018-11-27,8.31,1.0,ME,A Short History of Nearly Everything,076790818X,ABIS_BOOK,R_Bz9qIb3FhzjeBbz,8.31
2021-03-05,5.99,1.0,ME,A Thousand Mile Walk to the Gulf,1728654882,ABIS_BOOK,R_0vmGaO4F0OdvNQd,5.99
2021-09-04,17.99,1.0,ME,A Thousand Ships: A Novel,0063065398,ABIS_BOOK,R_2sRqLYPSneIHZfJ,17.99
2021-04-26,21.65,1.0,ME,ADHD 2.0: New Science and Essential Strategies for Thriving with Distraction--from Childhood through Adulthood,0399178732,ABIS_BOOK,R_Bz9qIb3FhzjeBbz,21.65
2021-08-11,31.99,1.0,ME,Action Research: A Guide for the Teacher Researcher,0134523032,ABIS_BOOK,R_Bz9qIb3FhzjeBbz,31.99
2022-05-08,10.9,1.0,ME,Air Fryer Cookbook: 600 Effortless Air Fryer Recipes for Beginners and Advanced Users,1674844468,ABIS_BOOK,R_22SxELlmhBQCe1C,10.9
2018-12-09,112.84,1.0,ME,Akira 35th Anniversary Box Set,1632364611,ABIS_BOOK,R_Bz9qIb3FhzjeBbz,112.84
2020-10-12,13.2,1.0,ME,Alexander Hamilton,0143034758,ABIS_BOOK,R_z7IAIZ66lqLei2Z,13.2
2021-03-12,9.99,1.0,ME,"All New Square Foot Gardening, 3rd Edition, Fully Updated: MORE Projects - NEW Solutions - GROW Vegetables Anywhere (Volume 9) (All New Square Foot Gardening, 9)",0760362858,ABIS_BOOK,R_2mAJniG0xVBIInL,9.99
2020-08-03,9.99,1.0,ME,All the Birds in the Sky,0765379953,ABIS_BOOK,R_2mAJniG0xVBIInL,9.99
2019-12-23,13.82,1.0,ME,Amazing Tales from the 2004 Boston Red Sox Dugout: The Greatest Stories from a Championship Season (Tales from the Team),1613216874,ABIS_BOOK,R_27EkAmfedK6OHpp,13.82
2021-12-18,20.0,3.0,ME,Amazon.com Gift Card in a Reveal (Various Designs),B072F9T6VX,ABIS_BOOK,R_Bz9qIb3FhzjeBbz,60.0
2018-12-13,25.0,1.0,ME,Amazon.com Gift Card in a Reveal (Various Designs),B071VCQJ24,ABIS_BOOK,R_z7IAIZ66lqLei2Z,25.0
2018-04-06,15.6,1.0,ME,An Absolutely Remarkable Thing (Signed Edition): A Novel,1524744123,ABIS_BOOK,R_z7IAIZ66lqLei2Z,15.6
2019-12-11,7.99,1.0,ME,"An Unfinished Life: John F. Kennedy, 1917 - 1963",0316907928,ABIS_BOOK,R_z7IAIZ66lqLei2Z,7.99
2018-09-29,5.99,1.0,ME,Anne Frank: The Diary of a Young Girl,0553296981,ABIS_BOOK,R_Bz9qIb3FhzjeBbz,5.99
2021-01-25,14.02,1.0,ME,Anxious People: A Novel,1501160834,ABIS_BOOK,R_Bz9qIb3FhzjeBbz,14.02
2020-12-31,17.19,1.0,ME,Applying UML and Patterns: An Introduction to Object-Oriented Analysis and Design and Iterative Development,0131489062,ABIS_BOOK,R_PvwULHwARcFwOXv,17.19
2019-11-30,16.99,1.0,ME,Astrology: Using the Wisdom of the Stars in Your Everyday Life,1465464131,ABIS_BOOK,R_Bz9qIb3FhzjeBbz,16.99
2018-11-27,12.17,1.0,ME,Astrophysics for People in a Hurry,0393609391,ABIS_BOOK,R_Bz9qIb3FhzjeBbz,12.17
2021-03-07,6.39,1.0,ME,Backpack Explorer: On the Nature Trail: What Will You Find?,1635861977,ABIS_BOOK,R_2mAJniG0xVBIInL,6.39
2022-03-15,57.55,1.0,ME,Ball Culture Guide: The Encyclopedia of Seed Germination,1733254102,ABIS_BOOK,R_2sRqLYPSneIHZfJ,57.55
2019-07-14,9.95,1.0,ME,"Basara, Vol. 1",156931974X,ABIS_BOOK,R_Bz9qIb3FhzjeBbz,9.95
2018-09-22,48.34,1.0,ME,Becoming the Math Teacher You Wish You'd Had: Ideas and Strategies from Vibrant Classrooms,157110996X,ABIS_BOOK,R_Bz9qIb3FhzjeBbz,48.34
2022-02-25,30.1,1.0,ME,Berserk Deluxe Volume 1,1506711987,ABIS_BOOK,R_Bz9qIb3FhzjeBbz,30.1
2022-08-30,14.98,1.0,ME,Best Practices in Gifted Education: An Evidence-Based Guide,159363210X,ABIS_BOOK,R_Bz9qIb3FhzjeBbz,14.98
2021-12-24,22.46,1.0,ME,"Bettie Page: The Lost Years: An Intimate Look at the Queen of Pinups, through her Private Letters & Never-Published Photos",1493034502,ABIS_BOOK,R_2sRqLYPSneIHZfJ,22.46
2021-11-30,2.99,1.0,ME,"Blackjack Basic Strategy Chart: 4/6/8 Decks, Dealer Hits Soft 17",982119151,ABIS_BOOK,R_27EkAmfedK6OHpp,2.99
2022-02-05,2.99,1.0,ME,"Blackjack Basic Strategy Chart: 4/6/8 Decks, Dealer Hits Soft 17",982119151,ABIS_BOOK,R_27EkAmfedK6OHpp,2.99
2019-07-20,9.45,2.0,ME,Blank Comic Book: Draw Your Own! (Drawing With Christopher Hart),1640210334,ABIS_BOOK,R_1JJ8YCoLzDqN39u,18.9
2019-12-10,14.94,1.0,ME,Boston Red Sox Sports Illustrated Hardcover Commemorative 2004 MLB World Series Champions (individually numbered) Limited Edition Hardback,B0078ER6I0,ABIS_BOOK,R_27EkAmfedK6OHpp,14.94
2022-11-11,20.24,1.0,ME,Brave New World and Brave New World Revisited,0060535261,ABIS_BOOK,R_Bz9qIb3FhzjeBbz,20.24
2019-12-10,19.45,1.0,ME,Bridges Out of Poverty: Strategies for Professional and Communities(OUT OF PRINT) (English and German Edition),1934583359,ABIS_BOOK,R_27EkAmfedK6OHpp,19.45
2018-04-23,8.0,1.0,ME,Brown Girl Dreaming,0147515823,ABIS_BOOK,R_Bz9qIb3FhzjeBbz,8.0
2020-12-12,1.99,1.0,ME,Build Your Own Breakfast Sticker Activity Book (Dover Little Activity Books Stickers),0486481824,ABIS_BOOK,R_2mAJniG0xVBIInL,1.99
2018-09-04,37.39,1.0,ME,Building Java Programs: A Back to Basics Approach,0134322762,ABIS_BOOK,R_PvwULHwARcFwOXv,37.39
2018-05-18,22.17,1.0,ME,Bullying Hurts: Teaching Kindness Through Read Alouds and Guided Conversations,0325043566,ABIS_BOOK,R_Bz9qIb3FhzjeBbz,22.17
2020-03-21,18.9,1.0,ME,"Buy Yourself the F*cking Lilies: And Other Rituals to Fix Your Life, from Someone Who's Been There",0525509887,ABIS_BOOK,R_UWl7Tnh9WjcOABH,18.9
2019-07-24,6.69,1.0,ME,COMMON CORE STANDARDS PRACTICE WORKBOOK GRADE 5,0328756881,ABIS_BOOK,R_Bz9qIb3FhzjeBbz,6.69
2018-11-27,3.85,1.0,ME,Calm the F*ck Down: An Irreverent Adult Coloring Book,1522864741,ABIS_BOOK,R_Bz9qIb3FhzjeBbz,3.85
2022-03-03,31.8,1.0,ME,Calvin And Hobbes Tenth Anniversary Book (Turtleback School & Library Binding Edition),0785791639,ABIS_BOOK,R_Bz9qIb3FhzjeBbz,31.8
2019-10-23,14.95,1.0,ME,Cannabis: A Beginner's Guide to Growing Marijuana,1571748466,ABIS_BOOK,R_UWl7Tnh9WjcOABH,14.95
2018-01-28,10.96,1.0,ME,Caraval (Caraval),1250095255,ABIS_BOOK,R_Bz9qIb3FhzjeBbz,10.96
2020-02-22,25.49,1.0,ME,Clinical Pathophysiology Made Ridiculously Simple,0940780801,ABIS_BOOK,R_T5bktxnjxE8B7ON,25.49
2021-12-22,18.23,1.0,ME,Cloud Cuckoo Land: A Novel,1982168439,ABIS_BOOK,R_2sRqLYPSneIHZfJ,18.23
2022-08-31,9.87,1.0,ME,Cold Enough for Snow,0811231550,ABIS_BOOK,R_u9UwZawss4cVQlz,9.87
2018-09-08,30.59,1.0,ME,Complete Middle Egyptian: (Learn Beginner Hieroglyphs) (Complete Language Courses),1473609798,ABIS_BOOK,R_2sRqLYPSneIHZfJ,30.59
2019-10-23,9.25,1.0,ME,"Complete Starter Guide to Whittling: 24 Easy Projects You Can Make in a Weekend (Fox Chapel Publishing) Beginner-Friendly Step-by-Step Instructions, Tips, and Ready-to-Carve Patterns for Toys & Gifts",1565238427,ABIS_BOOK,R_UWl7Tnh9WjcOABH,9.25
2019-01-18,80.5,1.0,ME,Computer Systems,1284079635,ABIS_BOOK,R_PvwULHwARcFwOXv,80.5
2020-06-18,13.95,1.0,ME,Conquer Me: Girl-to-Girl Wisdom About Fulfilling Your Submissive Desires,189015976X,ABIS_BOOK,R_Bz9qIb3FhzjeBbz,13.95
2021-02-27,13.49,1.0,ME,Convenience Store Woman: A Novel,0802129625,ABIS_BOOK,R_Bz9qIb3FhzjeBbz,13.49
2021-10-06,10.99,1.0,ME,"Corrective Reading Decoding Level B1, Student Book (CORRECTIVE READING DECODING SERIES)",0076112152,ABIS_BOOK,R_z7IAIZ66lqLei2Z,10.99
2019-12-08,31.82,1.0,ME,"Creating Wine: The Emergence of a World Industry, 1840-1914 (The Princeton Economic History of the Western World, 36)",0691136033,ABIS_BOOK,R_2mAJniG0xVBIInL,31.82
2021-03-20,21.66,1.0,ME,Critical Role: Vox Machina Origins Library Edition: Series I & II Collection,1506721737,ABIS_BOOK,R_PvwULHwARcFwOXv,21.66
2020-01-20,9.39,1.0,ME,"Crooked Kingdom (Six of Crows, 2)",1250076978,ABIS_BOOK,R_Bz9qIb3FhzjeBbz,9.39
2019-08-15,22.0,1.0,ME,D&D MORDENKAINEN'S TOME OF FOES (Dungeons & Dragons),0786966246,ABIS_BOOK,R_PvwULHwARcFwOXv,22.0
2019-01-19,26.31,1.0,ME,D&D Monster Manual (Dungeons & Dragons Core Rulebook),0786965614,ABIS_BOOK,R_PvwULHwARcFwOXv,26.31
2018-08-29,32.65,1.0,ME,DISCRETE MATHEMATICS With Applications,1111775788,ABIS_BOOK,R_PvwULHwARcFwOXv,32.65
2018-11-30,16.92,1.0,ME,"Danielle Walker's Eat What You Love: Everyday Comfort Food You Crave; Gluten-Free, Dairy-Free, and Paleo Recipes [A Cookbook]",1607749440,ABIS_BOOK,R_z7IAIZ66lqLei2Z,16.92
2022-04-09,10.39,1.0,ME,Dare to Lead: Brave Work. Tough Conversations. Whole Hearts.,0399592520,ABIS_BOOK,R_Bz9qIb3FhzjeBbz,10.39
2020-09-16,7.66,1.0,ME,"Daring Greatly: How the Courage to Be Vulnerable Transforms the Way We Live, Love, Parent, and Lead",1592408419,ABIS_BOOK,R_2ClhUlJ48Q5Z2fx,7.66
2019-09-10,9.34,1.0,ME,"Daring Greatly: How the Courage to Be Vulnerable Transforms the Way We Live, Love, Parent, and Lead",1592408419,ABIS_BOOK,R_Bz9qIb3FhzjeBbz,9.34
2018-12-28,68.97,1.0,ME,Data Structures: Abstraction and Design Using Java,1119355214,ABIS_BOOK,R_PvwULHwARcFwOXv,68.97
2018-02-09,5.99,1.0,ME,"Daughter of the Pirate King (Daughter of the Pirate King, 1)",1250095964,ABIS_BOOK,R_Bz9qIb3FhzjeBbz,5.99
2020-01-17,16.2,1.0,ME,Dear Edward: A Novel,198485478X,ABIS_BOOK,R_Bz9qIb3FhzjeBbz,16.2
2019-05-25,11.48,1.0,ME,"Dear Girl,: A Celebration of Wonderful, Smart, Beautiful You!",0062422502,ABIS_BOOK,R_1JJ8YCoLzDqN39u,11.48
2019-08-09,26.76,1.0,ME,Death & Co: Modern Classic Cocktails,1607745259,ABIS_BOOK,R_z7IAIZ66lqLei2Z,26.76
2022-08-25,6.61,1.0,ME,Death of the Liberal Class,1568586795,ABIS_BOOK,R_2ClhUlJ48Q5Z2fx,6.61
2018-04-16,7.07,1.0,ME,Decoding Egyptian Hieroglyphs: How to read the secret language of the Pharaohs,0785833994,ABIS_BOOK,R_2sRqLYPSneIHZfJ,7.07
2022-04-09,36.95,1.0,ME,Designing Services and Programs for High-Ability Learners: A Guidebook for Gifted Education,148338702X,ABIS_BOOK,R_Bz9qIb3FhzjeBbz,36.95
2019-03-19,3.29,1.0,ME,"Diary of a Wimpy Kid 1 [Paperback] [Jan 01, 2014] Jeff Kinney",0141358017,ABIS_BOOK,R_z7IAIZ66lqLei2Z,3.29
2019-04-05,8.82,1.0,ME,Diary of an Awesome Friendly Kid: Rowley Jefferson's Journal,141974027X,ABIS_BOOK,R_z7IAIZ66lqLei2Z,8.82
2022-04-03,27.42,1.0,ME,Differentiated Projects for Gifted Students,1593639678,ABIS_BOOK,R_Bz9qIb3FhzjeBbz,27.42
2022-04-03,24.95,1.0,ME,Differentiating Instruction With Menus for the Inclusive Classroom Grades 35: Math,1593638868,ABIS_BOOK,R_Bz9qIb3FhzjeBbz,24.95
2022-04-10,24.95,1.0,ME,"Differentiating Instruction With Menus for the Inclusive Classroom: Math, Grades 6-8",1593639643,ABIS_BOOK,R_Bz9qIb3FhzjeBbz,24.95
2018-08-30,7.87,1.0,ME,"Discovery of the Americas, The (Discovery of the Americans)",0688115128,ABIS_BOOK,R_Bz9qIb3FhzjeBbz,7.87
2020-06-04,7.29,1.0,ME,Do Androids Dream of Electric Sheep?: The inspiration for the films Blade Runner and Blade Runner 2049,0345404475,ABIS_BOOK,R_Bz9qIb3FhzjeBbz,7.29
2019-08-15,35.5,1.0,ME,Dungeons & Dragons Acquisitions Incorporated HC (D&D Campaign Accessory Hardcover Book),0786966904,ABIS_BOOK,R_PvwULHwARcFwOXv,35.5
2022-06-29,13.99,1.0,ME,Easy French Step-by-Step,0071453873,ABIS_BOOK,R_Bz9qIb3FhzjeBbz,13.99
2020-07-12,6.5,1.0,ME,Eating the Alphabet,015201036X,ABIS_BOOK,R_2mAJniG0xVBIInL,6.5
