Order Date,Purchase Price Per Unit,Quantity,Shipping Address State,Title,ASIN/ISBN (Product Code),Category,Survey ResponseID,Total Value
2021-12-10,239.99,1.0,MO,"ANYCUBIC Resin 3D Printer, Photon Mono 4K 6.23"" Monochrome UV LCD 3D Printer Fast Printing, Power Adjustable, 5.19""(L) x3.14(W) x6.49(H) Printing Size",B08HH329TR,3D_PRINTER,R_bPXVVzzUFNDkEc9,239.99
2021-12-10,129.99,1.0,MO,"ANYCUBIC Wash and Cure Station, Newest Upgraded 2 in 1 Wash and Cure 2.0 Machine for Mars Anycubic Photon S Photon Mono LCD SLA DLP 3D Printer Models UV Rotary Curing Resin Box",B083GTS8XJ,3D_PRINTER,R_bPXVVzzUFNDkEc9,129.99
2018-05-20,10.97,1.0,MO,"Elite Sportz Core Sliders for Working Out - Pack of 2 Compact, Dual Sided Gliding Discs for Full Body Workout on Carpet or Hardwood Floor - Fitness & Home Exercise Equipment - Small Gift for Athletes",B0171GRX8C,ABDOMINAL_EXERCISER,R_2dmqKX6ss6HMnb7,10.97
2023-01-03,19.99,1.0,MO,"NEOWEEK Exercise Hoop for Adults, Weighted Fitness Hoop for Exercise-2lb, 8 Section Detachable Design-Professional Soft Workout Hoop",B079KYP5BM,ABDOMINAL_EXERCISER,R_2tDsyPHHxJD0dMK,19.99
2020-02-17,1.31,1.0,MO,"""What Do You Care What Other People Think?"": Further Adventures of a Curious Character",0393320928,ABIS_BOOK,R_20TAzxGcUSMw2Gy,1.31
2019-10-13,23.37,1.0,MO,"10 Actual, Official LSAT PrepTests Volume VI: (PrepTests 72–81)",0998339784,ABIS_BOOK,R_TwkOLlpYpSqvIUp,23.37
2019-04-16,21.53,1.0,MO,"10 More, Actual Official LSAT PrepTests: (PrepTests 19–28) (Lsat Series)",0979305039,ABIS_BOOK,R_TwkOLlpYpSqvIUp,21.53
2019-09-23,19.44,1.0,MO,"10 New Actual, Official LSAT PrepTests with Comparative Reading: (PrepTests 52–61)",0984636005,ABIS_BOOK,R_TwkOLlpYpSqvIUp,19.44
2020-04-10,9.99,1.0,MO,"100 Amazing Patterns: An Adult Coloring Book with Fun, Easy, and Relaxing Coloring Pages",1079520015,ABIS_BOOK,R_2e4rbn396I6cXMY,9.99
2020-12-20,6.99,1.0,MO,"100 Flower Designs: Coloring Book For Adults Featuring Flowers, Vases, Bunches, and a Variety of Flower Designs (Adult Coloring Books)",194571039X,ABIS_BOOK,R_1cSKDh8brnAicte,6.99
2019-07-16,11.95,1.0,MO,100 Snowmen,1477847030,ABIS_BOOK,R_C3LfLBkg9TFvQnD,11.95
2019-01-10,12.99,1.0,MO,100 Ways To Love Your Husband: the life-long journey of learning to love each other,1929125313,ABIS_BOOK,R_2e4rbn396I6cXMY,12.99
2020-11-30,12.95,1.0,MO,101 Quotes That Will Change Your Life: Words to inspire a new way of thinking and a life you always imagined was possible,1539887782,ABIS_BOOK,R_1Kdrii5cpL8DIZS,12.95
2022-03-14,13.86,1.0,MO,12 Rules for Life: An Antidote to Chaos,0141988517,ABIS_BOOK,R_1li5HiNnFHiD7yw,13.86
