Order Date,Purchase Price Per Unit,Quantity,Shipping Address State,Title,ASIN/ISBN (Product Code),Category,Survey ResponseID,Total Value
2019-10-26,259.33,1.0,MS,"Official Creality Ender 3 Pro 3D Printer with Removable Build Surface Plate and Branded Power Supply, FDM 3D Printers for DIY Home and School Printing Size 8.66x8.66x9.84 inch",B07GYRQVYV,3D_PRINTER,R_24MKoSmvuiLEI76,259.33
2020-11-30,5.99,1.0,MS,"MRELC Core Sliders,Exercise Sliders Fitness,2 Pack Dual Sided Strength Slides,Use on All Surfaces(Carpet or Hardwood Floors),Perfect for Abdominal&Core Workouts(Mint Green)",B088M4ZRV5,ABDOMINAL_EXERCISER,R_3EEkdVDJ2YHiSOj,5.99
2021-08-12,17.99,2.0,MS,"""The Elephant and The Rider - An Insurance Policy Against Failure""",1639445137,ABIS_BOOK,R_8ea2ymIzpiKx8t3,35.98
2020-06-24,25.43,1.0,MS,"10 Actual, Official LSAT PrepTests Volume V: (PrepTests 62–71) (Lsat Series)",0986045519,ABIS_BOOK,R_2w4cgTg4Pio3rhs,25.43
2020-02-20,9.3,1.0,MS,10-Day Green Smoothie Cleanse,1501100106,ABIS_BOOK,R_22tZfZkw9b1zxls,9.3
2018-07-18,14.18,1.0,MS,10-Day Sugar Detox: Easy Meal Plans to Beat Sugar in 10 Days,162315426X,ABIS_BOOK,R_3eyGrzjenFYJ7oC,14.18
2022-12-12,13.99,1.0,MS,100 Things Cardinals Fans Should Know & Do Before They Die (100 Things...Fans Should Know),1629376493,ABIS_BOOK,R_2vYeXyFdrSyrVwh,13.99
2022-01-09,7.99,1.0,MS,101 Devotions for His Princesses,1432123890,ABIS_BOOK,R_24GfMQK7Qh4FF51,7.99
2020-10-03,13.95,1.0,MS,2020-2021 Teacher Misery Planner,B089M59JRQ,ABIS_BOOK,R_Dw30GgKFkKsUqT7,13.95
2021-09-04,14.95,1.0,MS,2021-2022 Teacher Misery Planner: Not Necessarily Safe for Work Version,B099ZP94HZ,ABIS_BOOK,R_Dw30GgKFkKsUqT7,14.95
2021-10-18,6.99,1.0,MS,"40 Reasons Why I Love My Sister-in-law: Journal To Show Your Appreciation To Your Sister-in-law | Perfect notebook for birthday, wedding, valentine's ... Me and my Sister-in-law's memories | 6"" x 9""",B09JBMYZ1R,ABIS_BOOK,R_3EEkdVDJ2YHiSOj,6.99
2021-09-28,9.93,1.0,MS,5-Minute Racing Stories (5-Minute Stories),1368000754,ABIS_BOOK,R_Dw30GgKFkKsUqT7,9.93
2021-02-19,4.15,1.0,MS,52 Weeks Through the Bible: Fall in Love with the Book That Changed Everything,0736965580,ABIS_BOOK,R_1mEmb9jWLRYCU4e,4.15
2019-12-13,11.0,1.0,MS,7-Day Apple Cider Vinegar Cleanse: Lose Up to 15 Pounds in 7 Days and Turn Your Body into a Fat-Burning Machine,1982118075,ABIS_BOOK,R_22tZfZkw9b1zxls,11.0
2021-11-04,5.99,1.0,MS,A Child Called It: One Child's Courage to Survive,1558743669,ABIS_BOOK,R_1GIfjocF2dRzyeH,5.99
2020-06-16,6.79,1.0,MS,A Child's Garden of Verses (Illustrated Classic): 100th Anniversary Collection,1949460630,ABIS_BOOK,R_24GfMQK7Qh4FF51,6.79
2022-08-23,29.4,1.0,MS,"A Fresh Look at Phonics, Grades K-2: Common Causes of Failure and 7 Ingredients for Success (Corwin Literacy)",1506326889,ABIS_BOOK,R_Dw30GgKFkKsUqT7,29.4
2021-07-16,10.36,1.0,MS,A Letter From Your Teacher: On the First Day of School,1735414123,ABIS_BOOK,R_1mEmb9jWLRYCU4e,10.36
2021-08-22,10.99,1.0,MS,A Tale of three Kings: A Study in Brokenness,0842369082,ABIS_BOOK,R_1GIfjocF2dRzyeH,10.99
2022-10-15,7.99,1.0,MS,A Tricky Halloween: An Unofficial Minecraft Halloween Story for Early Readers,1695873572,ABIS_BOOK,R_31MM5x1bJX2MWTy,7.99
2018-12-05,10.99,1.0,MS,AD70 and the End of the World: Finding Good News in Christ's Prophecies and Parables of Judgment,1927230411,ABIS_BOOK,R_TtjiPpPxtkd5Vnz,10.99
2020-07-25,22.95,1.0,MS,AFOQT Study Guide: AFOQT Prep and Study Book for the Air Force Officer Qualifying Test,1950159116,ABIS_BOOK,R_Q4ZjTFeyiC5kgQV,22.95
2021-12-04,13.99,1.0,MS,AMORALMAN: A True Story and Other Lies,0525658556,ABIS_BOOK,R_bNLECaaqFJyVsNX,13.99
2021-10-04,8.95,1.0,MS,Accelerated Piano Adventures for the Older Beginner: Lesson Book 1,1616772050,ABIS_BOOK,R_24GfMQK7Qh4FF51,8.95
2021-10-04,7.99,1.0,MS,Accelerated Piano Adventures for the Older Beginner: Theory Book 1,1616772069,ABIS_BOOK,R_24GfMQK7Qh4FF51,7.99
2018-12-17,22.48,1.0,MS,Accidental Heroes,1501979795,ABIS_BOOK,R_2vYeXyFdrSyrVwh,22.48
2019-02-03,5.03,1.0,MS,Across Time And Death: A Mother's Search For Her Past Life Children,0671889869,ABIS_BOOK,R_24MKoSmvuiLEI76,5.03
2018-09-15,12.31,1.0,MS,Ada Twist's Big Project Book for Stellar Scientists (The Questioneers),141973024X,ABIS_BOOK,R_2wHwNZWEecJflLc,12.31
