Order Date,Purchase Price Per Unit,Quantity,Shipping Address State,Title,ASIN/ISBN (Product Code),Category,Survey ResponseID,Total Value
2019-09-15,7.14,1.0,MT,"100 Write-and-Learn Sight Word Practice Pages: Engaging Reproducible Activity Pages That Help Kids Recognize, Write, and Really LEARN the Top 100 High-Frequency Words That are Key to Reading Success",0439365627,ABIS_BOOK,R_3M0euO2kPnoHrdt,7.14
2019-09-15,6.95,1.0,MT,52 Activities in Nature (52 Series),0811810968,ABIS_BOOK,R_3M0euO2kPnoHrdt,6.95
2019-01-23,23.02,1.0,MT,A Concise History of Japan (Cambridge Concise Histories),052117872X,ABIS_BOOK,R_DtPfbKjVP7QqLVD,23.02
2019-08-26,33.95,1.0,MT,A History of American Higher Education,1421428830,ABIS_BOOK,R_2AHiSANbVno9jis,33.95
2018-01-23,25.54,1.0,MT,A History of Italian Cinema,1441160698,ABIS_BOOK,R_DtPfbKjVP7QqLVD,25.54
2019-10-05,15.75,1.0,MT,A Kid's Guide to Native American History: More than 50 Activities (A Kid's Guide series),1556528027,ABIS_BOOK,R_3M0euO2kPnoHrdt,15.75
2021-11-25,9.95,1.0,MT,A Kid's Guide to Puerto Rico,1978148364,ABIS_BOOK,R_2VJ7KiUFzWY3H0p,9.95
2022-08-23,25.0,1.0,MT,Algebra I Project-Based Curriculum Test Booklet,1092744908,ABIS_BOOK,R_2VJ7KiUFzWY3H0p,25.0
2022-08-23,60.0,1.0,MT,Algebra I Project-Based Curriculum: Aligned with the Common Core State Standards,1091267820,ABIS_BOOK,R_2VJ7KiUFzWY3H0p,60.0
2022-07-27,10.74,1.0,MT,All the Light We Cannot See: A Novel,1501173219,ABIS_BOOK,R_1TvhpEMhVBwUasN,10.74
2019-12-06,50.0,1.0,MT,Amazon.com Gift Card in a Reveal (Various Designs),B071HFGN9N,ABIS_BOOK,R_3e5g4lvddcnjkoZ,50.0
2019-09-14,7.19,1.0,MT,Animal Farm: 75th Anniversary Edition,0451526341,ABIS_BOOK,R_1TvhpEMhVBwUasN,7.19
2018-06-15,8.99,1.0,MT,"Be Brave Little One: An Inspiring Book About Courage For Babies, Baby Showers, Graduation, And More",1492658812,ABIS_BOOK,R_3g1vpqtwzgBUs93,8.99
