Order Date,Purchase Price Per Unit,Quantity,Shipping Address State,Title,ASIN/ISBN (Product Code),Category,Survey ResponseID,Total Value
2020-11-29,11.87,1.0,ND,"100 Drives, 5,000 Ideas: Where to Go, When to Go, What to Do, What to See",1426220901,ABIS_BOOK,R_3KBMM6Vf5T55MvH,11.87
2021-12-30,5.99,1.0,ND,50 Shades Of Bullsh*t: Dark Edition: Swear Word Coloring Book,2376190029,ABIS_BOOK,R_1r6N3kesE63C7Fn,5.99
2019-01-06,15.42,1.0,ND,"A Manual for Writers of Research Papers, Theses, and Dissertations, Ninth Edition: Chicago Style for Students and Researchers (Chicago Guides to Writing, Editing, and Publishing)",022643057X,ABIS_BOOK,R_6fzbeTqbnF0kBih,15.42
2019-02-14,11.69,1.0,ND,Animetrics: A Striking Color-By-Sticker Challenge,1438009917,ABIS_BOOK,R_1oqo8TsBiNOQg4v,11.69
2021-06-30,8.49,1.0,ND,Arcanum Unbounded: The Cosmere Collection,076539118X,ABIS_BOOK,R_6fzbeTqbnF0kBih,8.49
2019-02-23,5.36,1.0,ND,Big Color by Numbers Book,0794516068,ABIS_BOOK,R_1oqo8TsBiNOQg4v,5.36
2020-01-15,10.19,1.0,ND,"Bob Books, Set 1: Beginning Readers",0439845009,ABIS_BOOK,R_1oqo8TsBiNOQg4v,10.19
2019-02-12,8.98,1.0,ND,Brain Games - Color by Number: Stress-Free Coloring (Pink),1680227726,ABIS_BOOK,R_1oqo8TsBiNOQg4v,8.98
2021-07-05,6.5,1.0,ND,Breach of Peace,0578840774,ABIS_BOOK,R_6fzbeTqbnF0kBih,6.5
2020-06-27,14.99,1.0,ND,"Chop-Monster, Book 1: Bass (Book with CD)",0739031260,ABIS_BOOK,R_6fzbeTqbnF0kBih,14.99
2020-06-24,5.95,1.0,ND,Color and Cuss: A Hilarious Swear Word Adult Coloring Book,1073336115,ABIS_BOOK,R_1r6N3kesE63C7Fn,5.95
2022-02-02,14.09,1.0,ND,Cravings: All Together: Recipes to Love: A Cookbook,0593135423,ABIS_BOOK,R_2t3ifk3xBqzIWG9,14.09
2019-05-28,13.29,1.0,ND,Create This Book 2,0692168729,ABIS_BOOK,R_1r6N3kesE63C7Fn,13.29
2019-01-08,5.49,1.0,ND,Creative Beginnings: An Introduction to Jazz Improvisation,0133454630,ABIS_BOOK,R_6fzbeTqbnF0kBih,5.49
2019-01-24,21.13,1.0,ND,D&D Waterdeep Dragon Heist HC (Dungeons & Dragons),0786966254,ABIS_BOOK,R_6fzbeTqbnF0kBih,21.13
2022-02-02,10.99,1.0,ND,Daughter of Moloka'i: A Novel,1250137675,ABIS_BOOK,R_2t3ifk3xBqzIWG9,10.99
2019-12-02,8.32,1.0,ND,Desktop Cornhole: Give it a toss! (RP Minis),0762459301,ABIS_BOOK,R_3KBMM6Vf5T55MvH,8.32
2023-02-15,19.39,1.0,ND,"Disney - Mickey Mouse, Toy Story and More! Me Reader Electronic Reader 8-Book Library - PI Kids",1450856683,ABIS_BOOK,R_2t3ifk3xBqzIWG9,19.39
2021-06-23,8.43,1.0,ND,Edgedancer: From The Stormlight Archive,1250166543,ABIS_BOOK,R_6fzbeTqbnF0kBih,8.43
2019-06-22,3.12,1.0,ND,Flow: The Psychology of Optimal Experience (Harper Perennial Modern Classics),0061339202,ABIS_BOOK,R_1oqo8TsBiNOQg4v,3.12
2019-12-16,8.71,1.0,ND,Grumpy Monkey,0593123999,ABIS_BOOK,R_1oqo8TsBiNOQg4v,8.71
2019-03-18,25.46,1.0,ND,Habits of a Successful Band Director: Pitfalls and Solutions/G6777,1579995705,ABIS_BOOK,R_6fzbeTqbnF0kBih,25.46
2019-02-07,29.95,1.0,ND,Habits of a Successful Middle School Band Director/G8619,1622770064,ABIS_BOOK,R_6fzbeTqbnF0kBih,29.95
2020-11-05,5.11,1.0,ND,Here We Go! (Nintendo) (Super Mario),052564721X,ABIS_BOOK,R_1oqo8TsBiNOQg4v,5.11
2021-08-10,19.99,1.0,ND,How to Change: The Science of Getting from Where You Are to Where You Want to Be,059308375X,ABIS_BOOK,R_6fzbeTqbnF0kBih,19.99
2018-09-30,5.05,1.0,ND,"I Will Surprise My Friend! (An Elephant and Piggie Book) (Elephant and Piggie Book, An)",1423109627,ABIS_BOOK,R_1oqo8TsBiNOQg4v,5.05
2019-02-17,6.99,1.0,ND,"I Will Take A Nap! (An Elephant and Piggie Book) (An Elephant and Piggie Book, 23)",1484716302,ABIS_BOOK,R_1oqo8TsBiNOQg4v,6.99
2021-10-13,5.75,1.0,ND,Indian Captive: The Story of Mary Jemison,0064461629,ABIS_BOOK,R_2t3ifk3xBqzIWG9,5.75
2019-09-04,5.95,1.0,ND,L193 - Eugene Rousseau Saxophone Method Book 1,0849702569,ABIS_BOOK,R_6fzbeTqbnF0kBih,5.95
2019-09-04,6.5,1.0,ND,L196 - Eugene Rousseau Saxophone Methods Book 2,0849702577,ABIS_BOOK,R_6fzbeTqbnF0kBih,6.5
2020-01-15,5.99,1.0,ND,Learn To Draw Ocean Wonders! (Easy Step-by-Step Drawing Guide) (Young Artist),1441316043,ABIS_BOOK,R_1oqo8TsBiNOQg4v,5.99
2022-01-11,5.79,1.0,ND,Logic Puzzles for Adults: 50 fantastic logic puzzles plus 50 bonus assorted logical brainteasers,B08BF2PJHD,ABIS_BOOK,R_1oqo8TsBiNOQg4v,5.79
2021-07-05,5.98,1.0,ND,Mark! Set! Go! Instrument Fingerboard Tape: Teacher Pack,B0016OMSYU,ABIS_BOOK,R_6fzbeTqbnF0kBih,5.98
2018-12-14,9.99,1.0,ND,Metal Cats Coloring Book,1576878457,ABIS_BOOK,R_3iz0BqWx9Y3Zy8z,9.99
2021-02-28,21.57,1.0,ND,"Mistborn Boxed Set I: Mistborn, The Well of Ascension, The Hero of Ages (The Mistborn Saga)",125026717X,ABIS_BOOK,R_6fzbeTqbnF0kBih,21.57
2019-01-06,39.95,1.0,ND,Music Research: A Handbook,0199797129,ABIS_BOOK,R_6fzbeTqbnF0kBih,39.95
2018-08-23,12.75,1.0,ND,Nineteenth-Century Romanticism in Music (PRENTICE-HALL HISTORY OF MUSIC SERIES),0136226973,ABIS_BOOK,R_6fzbeTqbnF0kBih,12.75
2018-07-04,110.0,1.0,ND,Oxford Desk Reference: Clinical Genetics and Genomics (Oxford Desk Reference Series),0199557500,ABIS_BOOK,R_3KBMM6Vf5T55MvH,110.0
2020-01-07,7.86,1.0,ND,Penguin and Pinecone A friendship story,0802737315,ABIS_BOOK,R_1oqo8TsBiNOQg4v,7.86
2018-12-20,4.99,1.0,ND,Pete the Cat: Out of This World,0062404431,ABIS_BOOK,R_1oqo8TsBiNOQg4v,4.99
2020-10-27,58.25,1.0,ND,Practical Genetic Counseling,0340990694,ABIS_BOOK,R_3KBMM6Vf5T55MvH,58.25
2020-10-27,83.37,1.0,ND,Preimplantation Genetic Testing: Recent Advances in Reproductive Medicine,1138333301,ABIS_BOOK,R_3KBMM6Vf5T55MvH,83.37
2018-11-05,10.19,1.0,ND,"Present, Not Perfect: A Journal for Slowing Down, Letting Go, and Loving Who You Are",1250147751,ABIS_BOOK,R_3KBMM6Vf5T55MvH,10.19
2020-02-18,6.92,1.0,ND,Pugs Coloring Book! Discover This Unique Collection Of Coloring Pages,1641938927,ABIS_BOOK,R_1r6N3kesE63C7Fn,6.92
2021-11-12,14.99,1.0,ND,Rebel's Creed (Lawful Times),0578975130,ABIS_BOOK,R_6fzbeTqbnF0kBih,14.99
2021-12-30,5.99,1.0,ND,"Relaxing Flowers: Coloring Book For Adults With Flower Patterns, Bouquets, Wreaths, Swirls, Decorations.",B08NS7PGY1,ABIS_BOOK,R_1r6N3kesE63C7Fn,5.99
2020-05-22,26.99,1.0,ND,"Reproductive Endocrinology and Infertility, Handbook for Clinicians",096454671X,ABIS_BOOK,R_3KBMM6Vf5T55MvH,26.99
2021-06-23,15.3,1.0,ND,"Rhythm of War: Book Four of The Stormlight Archive (The Stormlight Archive, 4)",0765326388,ABIS_BOOK,R_6fzbeTqbnF0kBih,15.3
2021-02-15,4.33,1.0,ND,Rock Bass Bible,0634022164,ABIS_BOOK,R_6fzbeTqbnF0kBih,4.33
2021-12-23,10.79,1.0,ND,Skyward (The Skyward Series),0399555803,ABIS_BOOK,R_6fzbeTqbnF0kBih,10.79
2019-02-23,7.79,1.0,ND,Step-By-Step Drawing Book (Activity Books for Little Children),0794529534,ABIS_BOOK,R_1oqo8TsBiNOQg4v,7.79
2021-06-05,21.24,1.0,ND,"Stormlight Archive MM Boxed Set I, Books 1-3: The Way of Kings, Words of Radiance, Oathbringer (The Stormlight Archive)",1250776635,ABIS_BOOK,R_6fzbeTqbnF0kBih,21.24
2020-11-26,5.99,1.0,ND,Super Mario Christmas Coloring Book: Great Coloring Pages For Kids | Ages 3-7 | Exclusive illustrations,1674644558,ABIS_BOOK,R_1oqo8TsBiNOQg4v,5.99
2020-11-05,7.89,1.0,ND,Super Mario: Bring on the Bad Guys! (Nintendo),1984849727,ABIS_BOOK,R_1oqo8TsBiNOQg4v,7.89
2019-06-22,25.86,1.0,ND,"THE First Days of School: How to Be an Effective Teacher, 5th Edition (Book & DVD)",0976423383,ABIS_BOOK,R_6fzbeTqbnF0kBih,25.86
2020-01-06,11.5,1.0,ND,"Teaching Approaches in Music Theory, Second Edition: An Overview of Pedagogical Philosophies",0809325950,ABIS_BOOK,R_6fzbeTqbnF0kBih,11.5
2019-10-25,2.01,1.0,ND,The Day the Crayons Came Home,0399172750,ABIS_BOOK,R_1oqo8TsBiNOQg4v,2.01
2021-12-03,14.39,1.0,ND,"The Dialectical Behavior Therapy Skills Workbook: Practical DBT Exercises for Learning Mindfulness, Interpersonal Effectiveness, Emotion Regulation, ... (A New Harbinger Self-Help Workbook)",1684034582,ABIS_BOOK,R_1oqo8TsBiNOQg4v,14.39
2021-07-18,30.09,1.0,ND,"The Expanse Boxed Set: Leviathan Wakes, Caliban's War and Abaddon's Gate",0316311294,ABIS_BOOK,R_6fzbeTqbnF0kBih,30.09
2019-02-05,5.99,1.0,ND,The Hot Little Book of Sex Games: Fun and Erotic Foreplay Activities,1505815894,ABIS_BOOK,R_1oqo8TsBiNOQg4v,5.99
2018-09-30,2.16,1.0,ND,The Life-Changing Magic of Tidying Up: The Japanese Art of Decluttering and Organizing,1607747308,ABIS_BOOK,R_1oqo8TsBiNOQg4v,2.16
2022-02-02,29.56,1.0,ND,The New Stone Age: Ideas and Inspiration for Living with Crystals,1984856596,ABIS_BOOK,R_2t3ifk3xBqzIWG9,29.56
2019-08-26,28.97,1.0,ND,The New Winds of Change: The Evolution of the Contemporary American Wind Band/Ensemble and Its Music,1574634739,ABIS_BOOK,R_6fzbeTqbnF0kBih,28.97
2018-04-15,5.3,1.0,ND,"The Pigeon Has Feelings, Too!",0786836504,ABIS_BOOK,R_1oqo8TsBiNOQg4v,5.3
2020-12-28,8.75,1.0,ND,The Slow Regard of Silent Things (Kingkiller Chronicle),0756411327,ABIS_BOOK,R_6fzbeTqbnF0kBih,8.75
2018-09-30,5.26,1.0,ND,"There Is a Bird On Your Head! (An Elephant and Piggie Book) (Elephant and Piggie Book, An)",1423106865,ABIS_BOOK,R_1oqo8TsBiNOQg4v,5.26
2018-07-19,50.9,1.0,ND,Thompson & Thompson Genetics in Medicine (Thompson and Thompson Genetics in Medicine),1437706967,ABIS_BOOK,R_3KBMM6Vf5T55MvH,50.9
2018-12-10,19.5,1.0,ND,Tribe Of Mentors: Short Life Advice from the Best in the World,1328994961,ABIS_BOOK,R_QcV7uVxb8myM0lb,19.5
2022-01-10,8.67,1.0,ND,Tricky Logic Puzzles for Adults: 130+ Difficult Puzzles to Challenge Your Brain,1646111451,ABIS_BOOK,R_1oqo8TsBiNOQg4v,8.67
2020-02-08,3.99,1.0,ND,Wall-E (A Little Golden Book),0736424229,ABIS_BOOK,R_1oqo8TsBiNOQg4v,3.99
2019-10-09,10.95,1.0,ND,Waln Elementary Clarinet Method,0769217885,ABIS_BOOK,R_6fzbeTqbnF0kBih,10.95
2021-03-01,7.95,1.0,ND,What to Listen for in Music (Signet Classics),0451531760,ABIS_BOOK,R_6fzbeTqbnF0kBih,7.95
2022-02-28,19.18,1.0,ND,"Wheel of Time Premium Boxed Set IV: Books 10-12 (Crossroads of Twilight, Knife of Dreams, The Gathering Storm)",1250256275,ABIS_BOOK,R_6fzbeTqbnF0kBih,19.18
2022-02-28,11.3,1.0,ND,"Wheel of Time Premium Boxed Set V: Book 13: Towers of Midnight, Book 14: A Memory of Light, Prequel: New Spring",1250763967,ABIS_BOOK,R_6fzbeTqbnF0kBih,11.3
2018-02-07,9.05,1.0,ND,When Things Fall Apart: Heart Advice for Difficult Times,1570629692,ABIS_BOOK,R_1oqo8TsBiNOQg4v,9.05
2019-08-05,7.03,1.0,ND,Zen and the Art of Motorcycle Maintenance: An Inquiry Into Values,60839872,ABIS_BOOK,R_3iz0BqWx9Y3Zy8z,7.03
2020-04-16,19.24,1.0,ND,Ashwagandha Root Powder Capsules,B000023YEK,ABIS_MUSIC,R_6fzbeTqbnF0kBih,19.24
2019-03-23,1.68,1.0,ND,Class Brass: Fire Dance,B00000J5Z3,ABIS_MUSIC,R_6fzbeTqbnF0kBih,1.68
2019-02-25,8.79,1.0,ND,Class Brass: On the Edge,B000003CYH,ABIS_MUSIC,R_6fzbeTqbnF0kBih,8.79
2019-04-01,19.19,1.0,ND,Full Moon Fever,B071CXLT1C,ABIS_MUSIC,R_6fzbeTqbnF0kBih,19.19
2019-01-21,9.99,1.0,ND,Heart of a Wolf,B00004TCX9,ABIS_MUSIC,R_6fzbeTqbnF0kBih,9.99
2018-11-27,13.97,1.0,ND,Legacy of An Artist,B000KX0HPA,ABIS_MUSIC,R_6fzbeTqbnF0kBih,13.97
2019-04-06,12.58,1.0,ND,Makin' Whoopee,B000003D3N,ABIS_MUSIC,R_6fzbeTqbnF0kBih,12.58
2021-09-21,17.99,1.0,ND,Ok Human,B08T78J8KT,ABIS_MUSIC,R_6fzbeTqbnF0kBih,17.99
2020-04-15,11.74,1.0,ND,Portrait of an Artist: Arnold Jacobs Tuba,B00004UDEY,ABIS_MUSIC,R_6fzbeTqbnF0kBih,11.74
2019-04-01,20.71,1.0,ND,Purple Rain Remastered,B071KWXJHG,ABIS_MUSIC,R_6fzbeTqbnF0kBih,20.71
2021-09-21,21.98,1.0,ND,Scaled and Icy,B099BYN5QR,ABIS_MUSIC,R_6fzbeTqbnF0kBih,21.98
2018-08-23,6.25,1.0,ND,The Best Of The Empire Brass Quintet,B000003D23,ABIS_MUSIC,R_6fzbeTqbnF0kBih,6.25
2021-05-10,4.0,1.0,ND,To the Edge of Space,B001AD56QY,ABIS_MUSIC,R_6fzbeTqbnF0kBih,4.0
2019-04-06,13.09,1.0,ND,Travelin' Light,B000003CXT,ABIS_MUSIC,R_6fzbeTqbnF0kBih,13.09
2021-09-21,23.77,1.0,ND,folklore [Beige 2 LP],B08DSS7Y2M,ABIS_MUSIC,R_6fzbeTqbnF0kBih,23.77
2020-07-02,11.99,1.0,ND,"Unisex Seamless Half Face Mask Bandana Neck Gaiter Tube Scarf Headwear, for Women & Men …",B0882145WP,ACCESSORY,R_1oqo8TsBiNOQg4v,11.99
2021-06-13,8.99,1.0,ND,KINGOU EVA Road Bike Handlebar Tape Bicycle Bar Wraps - 2PCS Per Set,B011JZ3CM2,ADHESIVE_TAPES,R_6fzbeTqbnF0kBih,8.99
