Order Date,Purchase Price Per Unit,Quantity,Shipping Address State,Title,ASIN/ISBN (Product Code),Category,Survey ResponseID,Total Value
2018-09-10,10.0,1.0,NH,"""Upper Ashuelot:"" A History Of Keene, New Hampshire",B000PUF2GC,ABIS_BOOK,R_3G8qdj0XUDaKK0r,10.0
2022-01-24,13.49,1.0,NH,$2.00 a Day: Living on Almost Nothing in America,054481195X,ABIS_BOOK,R_1hMV4AHCk04WO5V,13.49
2018-06-09,0.89,1.0,NH,"(First Collier Books Edition, 1970) the Last Battle Paperback By C.S. Lewis, Book 7 From the Chronicles of Narnia",B009TMPDNY,ABIS_BOOK,R_1goV1AJmLMRsVRE,0.89
2019-07-15,7.95,1.0,NH,100 Carefree Crosswords,1454917881,ABIS_BOOK,R_2ASz0xBmcxqYzUJ,7.95
2019-11-10,5.77,1.0,NH,100 Porch Swing Crosswords,1454935650,ABIS_BOOK,R_2ASz0xBmcxqYzUJ,5.77
2021-12-07,14.49,1.0,NH,"1916: A Novel of the Irish Rebellion (Irish Century, 1)",0765386143,ABIS_BOOK,R_3G8qdj0XUDaKK0r,14.49
2018-02-25,18.99,1.0,NH,4 Seconds Until Impact: The skyrocketing attacks by predators on humans.,1981502831,ABIS_BOOK,R_2wsgO78uo2UaxT6,18.99
2021-06-13,5.99,1.0,NH,50 Shades Of Bullsh*t: Dark Edition: Swear Word Coloring Book,2376190029,ABIS_BOOK,R_1msYd9aPVkQcY8T,5.99
2021-12-21,13.49,1.0,NH,A Bathroom Book for People Not Pooping or Peeing but Using the Bathroom as an Escape,1250782694,ABIS_BOOK,R_22rJF9Az75VyMxb,13.49
2021-08-11,7.99,1.0,NH,"A Butterfly Is Patient: (Nature Books for Kids, Children's Books Ages 3-5, Award Winning Children's Books) (Sylvia Long)",145214124X,ABIS_BOOK,R_2mAJniG0xVBIInL,7.99
2022-06-01,4.69,1.0,NH,A Friend Like Pikachu! (Pokémon) (Little Golden Book),1984848178,ABIS_BOOK,R_yDsJLBJ60v26htD,4.69
2021-03-27,2.98,1.0,NH,A Generation of Sociopaths: How the Baby Boomers Betrayed America,0316395781,ABIS_BOOK,R_2OUwN214Sx61xAC,2.98
2019-12-21,13.47,1.0,NH,A Little Life,0804172706,ABIS_BOOK,R_22rJF9Az75VyMxb,13.47
2021-12-07,8.89,1.0,NH,A Path To Freedom,1617430277,ABIS_BOOK,R_3G8qdj0XUDaKK0r,8.89
2019-12-21,9.99,1.0,NH,A Short History of Nearly Everything,076790818X,ABIS_BOOK,R_22rJF9Az75VyMxb,9.99
2019-07-21,5.34,1.0,NH,A Short History of Philosophy,0195101960,ABIS_BOOK,R_3G8qdj0XUDaKK0r,5.34
2018-09-02,3.97,1.0,NH,A Vindication of the Rights of Woman (Dover Thrift Editions: Literary Collections),0486290360,ABIS_BOOK,R_2cBADxleVyzT89z,3.97
2020-08-01,25.95,1.0,NH,A Visual Analogy Guide to Chemistry,1617317780,ABIS_BOOK,R_3G8qdj0XUDaKK0r,25.95
