Order Date,Purchase Price Per Unit,Quantity,Shipping Address State,Title,ASIN/ISBN (Product Code),Category,Survey ResponseID,Total Value
2020-09-08,7.98,1.0,NM,"【2021 Update】 Core Exercise Sliders (Set of 2), Smooth Gliders Dual-Sided Design, Use on Hardwood Floors, Workout Sliders Fitness Discs Abdominal & Total Body Gym-Exercise Equipment for Home, Travel",B08CTW415M,ABDOMINAL_EXERCISER,R_RlYyUhsDFvyGwX7,7.98
2020-05-12,9.95,1.0,NM,150 Children's Songs for Guitar,1530022924,ABIS_BOOK,R_2ZU2290oXuLzisq,9.95
2018-06-18,5.18,1.0,NM,"1943 Back In The Day - 24-page Greeting Card / Booklet with Envelope (5 x 7 Size) – Great for Birthdays, Anniversaries, Reunions, Graduations, Client & Corporate Gifts",1939380030,ABIS_BOOK,R_3h4JnsfebywTUxX,5.18
2020-01-08,15.3,1.0,NM,"5th Grade Jumbo Math Success Workbook: 3 Books in 1--Basic Math, Math Games and Puzzles, Math in Action; Activities, Exercises, and Tips to Help Catch ... and Get Ahead (Sylvan Math Jumbo Workbooks)",0307479218,ABIS_BOOK,R_3MECZcMuape9CCg,15.3
2019-08-20,5.0,1.0,NM,A Long Walk to Water: Based on a True Story,0547577311,ABIS_BOOK,R_3MECZcMuape9CCg,5.0
2020-12-02,23.96,1.0,NM,A Promised Land,1524763160,ABIS_BOOK,R_30uDhrRCQ3lqTNE,23.96
2018-10-27,9.42,1.0,NM,ACT 36 in Just 7 Steps,0071814418,ABIS_BOOK,R_RlYyUhsDFvyGwX7,9.42
2020-04-15,12.67,1.0,NM,"Accessible Gardening for People With Physical Disabilities: A Guide to Methods, Tools, and Plants",0933149565,ABIS_BOOK,R_1rwhkWp9UYemFEH,12.67
2020-05-05,8.95,1.0,NM,Adult Coloring Book: Stress Relieving Patterns,1941325122,ABIS_BOOK,R_2ZU2290oXuLzisq,8.95
2019-06-01,34.47,1.0,NM,An Introduction to Abstract Mathematics,1577665392,ABIS_BOOK,R_2dpa6TUZ2ogehoZ,34.47
2019-01-09,9.88,2.0,NM,Animal Crossing Official Sticker Book (Nintendo),1524772623,ABIS_BOOK,R_25HMSJi9OsBKgjX,19.76
2020-03-17,17.99,1.0,NM,Animal Crossing: New Horizons Official Companion Guide,3869931000,ABIS_BOOK,R_25HMSJi9OsBKgjX,17.99
2020-04-19,18.29,1.0,NM,Animal Crossing: New Horizons Official Companion Guide,3869931000,ABIS_BOOK,R_25HMSJi9OsBKgjX,18.29
2018-11-26,8.1,1.0,NM,"Annihilation: A Novel (The Southern Reach Trilogy, 1)",0374104093,ABIS_BOOK,R_3MlHi1BP6irqitk,8.1
