Order Date,Purchase Price Per Unit,Quantity,Shipping Address State,Title,ASIN/ISBN (Product Code),Category,Survey ResponseID,Total Value
2020-11-24,18.99,1.0,NV,Creality 3D Ender 3 S1 Ender 3 Pro Ender 5 Tempered Glass Upgraded Build Plate Printing Surface Heated Bed 235x235mmx4mm Ender 3/ Ender 3 Pro/Ender 5/CR-20 Pro 3D Printer,B07F16WPR5,3D_PRINTER,R_W80kzJbCa8CD9UB,18.99
2020-07-30,19.99,1.0,NV,Creality 3D Ender 3 S1 Ender 3 Pro Ender 5 Tempered Glass Upgraded Build Plate Printing Surface Heated Bed 235x235mmx4mm Ender 3/ Ender 3 Pro/Ender 5/CR-20 Pro 3D Printer,B07F16WPR5,3D_PRINTER,R_W80kzJbCa8CD9UB,19.99
2022-10-12,7.99,1.0,NV,"Creality Official Metal Leveling Nuts and Springs Upgraded Set for Ender 3/3 Pro/3 V2/3 Max, Ender 5/5 Plus/ 5 Pro, CR 10 Series 3D Printer Kit for Bed Staying Level (4Pcs)",B09LL9NGQP,3D_PRINTER,R_W80kzJbCa8CD9UB,7.99
2020-08-29,39.99,1.0,NV,"ELEGOO 2PCS Plastic Resin Tank for ELEGOO Mars 3D Printer with 2 Lids and FEP Release Liner pre-installed, Resin Vat for Mars, Compatible with Mars pro,Mars 2, Mars 2 pro, Photon, Photon S and Epax X1",B08345Q9BP,3D_PRINTER,R_W80kzJbCa8CD9UB,39.99
2022-09-27,31.99,1.0,NV,ELEGOO ABS-Like 3D Printer Resin LCD UV-Curing Resin 405nm Standard Photopolymer Resin for LCD 3D Printing White 1000g,B07PBYVGXT,3D_PRINTER,R_W80kzJbCa8CD9UB,31.99
2020-07-05,279.99,1.0,NV,"ELEGOO Mars Pro MSLA 3D Printer UV Photocuring LCD 3D Printer with Matrix UV LED Light Source, Built-in Activated Carbon,Off-Line Print 4.53in(L) x 2.56in(W) x 5.9in(H) Printing Size",B07XHK1SW1,3D_PRINTER,R_W80kzJbCa8CD9UB,279.99
2021-08-19,33.99,1.0,NV,ELEGOO Water Washable 3D Printer Rapid Resin LCD UV-Curing Resin 405nm Standard Photopolymer Resin for LCD 3D Printing 1000Gram Mint Green,B08S76MK2N,3D_PRINTER,R_W80kzJbCa8CD9UB,33.99
2020-07-16,44.99,1.0,NV,ELEGOO Water Washable 3D Printer Resin LCD UV-Curing Resin 405nm Standard Photopolymer Resin for LCD 3D Printing 1000Gram Clear Blue,B081YRDH9R,3D_PRINTER,R_W80kzJbCa8CD9UB,44.99
2020-07-05,44.99,1.0,NV,ELEGOO Water Washable 3D Printer Resin LCD UV-Curing Resin 405nm Standard Photopolymer Resin for LCD 3D Printing 1000Gram Clear Green,B081YSB54Q,3D_PRINTER,R_W80kzJbCa8CD9UB,44.99
2021-08-19,33.99,1.0,NV,ELEGOO Water Washable 3D Printer Resin LCD UV-Curing Resin 405nm Standard Photopolymer Resin for LCD 3D Printing 1000Gram Clear Red,B081YQ79P3,3D_PRINTER,R_W80kzJbCa8CD9UB,33.99
