Order Date,Purchase Price Per Unit,Quantity,Shipping Address State,Title,ASIN/ISBN (Product Code),Category,Survey ResponseID,Total Value
2022-11-25,27.99,2.0,SC,"MYNT3D Super 3D Pen, 1.75mm ABS and PLA Compatible 3D Printing Pen",B081C946ZJ,3D_PRINTER,R_1fZu6G1cmcRQS66,55.98
2021-06-21,20.99,1.0,SC,Ab Roller Wheel Exercise Equipment None Noise Ab Roller for Abs Workout Ab Wheel Ab Trainers Abdominal Roller Wheel Fitness Home Ab Wheel Roller for Home Gym for Man or Women Ab Machine,B089JZD3X5,ABDOMINAL_EXERCISER,R_A5sbkTmUYGXhO3n,20.99
2020-09-07,16.19,1.0,SC,#ENTRYLEVELBOSS: How to Get Any Job You Want,1250248817,ABIS_BOOK,R_3ffPASSeGwx1hdI,16.19
2020-06-02,9.19,1.0,SC,1 and 2 Peter: Courage in Times of Trouble (MacArthur Bible Studies),0718035178,ABIS_BOOK,R_3JgbbnNzNJBaMtM,9.19
2020-12-10,13.29,1.0,SC,"1,000 Places to See Before You Die: Revised Second Edition",0761156860,ABIS_BOOK,R_1NxFdNqQPtjjSci,13.29
2021-09-01,8.97,1.0,SC,1-3 John MacArthur New Testament Commentary (Volume 31) (MacArthur New Testament Commentary Series),0802407722,ABIS_BOOK,R_3JgbbnNzNJBaMtM,8.97
2018-07-04,13.56,1.0,SC,1001 Spells: The Complete Book of Spells for Every Purpose,1454917415,ABIS_BOOK,R_1H7fdZFFkwr8HKx,13.56
2019-12-10,8.4,1.0,SC,101 Ways to Amaze & Entertain: Amazing Magic & Hilarious Jokes to Try on Your Friends & Family (101 Things),1633220427,ABIS_BOOK,R_2BesSIAnd7POW2C,8.4
2021-07-17,15.56,1.0,SC,12 Rules for Life: An Antidote to Chaos,0141988517,ABIS_BOOK,R_WwVKVhGu4erKLWV,15.56
2021-10-12,7.48,1.0,SC,1984,0451524934,ABIS_BOOK,R_7VE7AAGZ5n3WvIt,7.48
2018-08-23,12.99,1.0,SC,2019 Amy Knapp's The Very Busy Planner: August 2018-December 2019,1492665959,ABIS_BOOK,R_2D0l8Hq0cs2tG0W,12.99
2018-07-31,39.69,1.0,SC,30 Days: Turning the Hearts of Parents & Teenagers Toward Each Other,1430033932,ABIS_BOOK,R_7VE7AAGZ5n3WvIt,39.69
2020-02-11,5.51,1.0,SC,5-Minute Mickey Mouse Stories (5-Minute Stories),1368022359,ABIS_BOOK,R_1pnhq1TIYM82Ou1,5.51
2022-03-03,7.19,2.0,SC,8 Little Planets: A Solar System Book for Kids with Unique Planet Cutouts,149267124X,ABIS_BOOK,R_A1h0ov6aU9SU4Rr,14.38
2022-09-19,8.15,1.0,SC,A Bathroom Book for People Not Pooping or Peeing but Using the Bathroom as an Escape,1250782694,ABIS_BOOK,R_A5sbkTmUYGXhO3n,8.15
2021-12-01,13.49,1.0,SC,A Bathroom Book for People Not Pooping or Peeing but Using the Bathroom as an Escape,1250782694,ABIS_BOOK,R_etgq3mVPgoz8CyZ,13.49
2021-03-28,6.99,1.0,SC,A Beginner's Guide to the Stock Market: Everything You Need to Start Making Money Today,1099617200,ABIS_BOOK,R_BKdhBvMVdqcJ2zD,6.99
2022-03-27,6.99,1.0,SC,A Beginner's Guide to the Stock Market: Everything You Need to Start Making Money Today,1099617200,ABIS_BOOK,R_1DBjajUfMYmS4cI,6.99
