Order Date,Purchase Price Per Unit,Quantity,Shipping Address State,Title,ASIN/ISBN (Product Code),Category,Survey ResponseID,Total Value
2022-08-27,9.99,1.0,UT,"Elite Sportz Core Sliders for Working Out - Pack of 2 Compact, Dual Sided Gliding Discs for Full Body Workout on Carpet or Hardwood Floor - Fitness & Home Exercise Equipment - Small Gift for Athletes",B00OYRW4UE,ABDOMINAL_EXERCISER,R_yrLYz6vyq4yOHpT,9.99
2018-07-29,8.51,1.0,UT,"""K"" Side : Red (Japanese Nobel Anime Story) (K)",4062838184,ABIS_BOOK,R_pM2zj7XA5ai0mgF,8.51
2018-01-05,14.02,1.0,UT,1491: New Revelations of the Americas Before Columbus,1400032059,ABIS_BOOK,R_2Xj7LtCe2Mt8jNi,14.02
2020-12-04,14.95,1.0,UT,2000 Most Common Japanese Words in Context: Get Fluent & Increase Your Japanese Vocabulary with 2000 Japanese Phrases (Japanese Language Lessons),1951949110,ABIS_BOOK,R_0DoXqOQl0hxEeFH,14.95
2018-07-17,15.09,1.0,UT,2019 Rand McNally Large Scale Road Atlas,528019635,ABIS_BOOK,R_28ANyXf1czOlXey,15.09
2020-11-09,26.1,1.0,UT,2021 Biddy Tarot Planner,0648696715,ABIS_BOOK,R_0DoXqOQl0hxEeFH,26.1
2018-02-06,13.59,1.0,UT,"8 Practice Tests for the ACT: Includes 1,728 Practice Questions (Kaplan Test Prep)",1506214398,ABIS_BOOK,R_A1CRADYHwN0zQL7,13.59
2022-10-11,12.98,2.0,UT,A Christmas Memory,1982177446,ABIS_BOOK,R_A1CRADYHwN0zQL7,25.96
2020-10-26,6.99,1.0,UT,A Doll's House,1503213803,ABIS_BOOK,R_ApbhbFeWGimyrqV,6.99
2019-03-27,18.69,1.0,UT,A History of Modern Lebanon,0745324371,ABIS_BOOK,R_0DoXqOQl0hxEeFH,18.69
2018-01-03,14.99,1.0,UT,A New Approach to Studying the Book of Mormon: Another Testament of Jesus Christ,0998717800,ABIS_BOOK,R_3ixUxNOUiEYD7KJ,14.99
2020-12-05,14.19,1.0,UT,A Peace to End All Peace: The Fall of the Ottoman Empire and the Creation of the Modern Middle East,0805088091,ABIS_BOOK,R_0DoXqOQl0hxEeFH,14.19
2021-01-23,14.99,1.0,UT,A Treatise on Stars,0811229386,ABIS_BOOK,R_dmOnzV702vMmeXf,14.99
2018-03-17,5.73,1.0,UT,A Wrinkle in Time (Time Quintet),0312367546,ABIS_BOOK,R_3ixUxNOUiEYD7KJ,5.73
2020-11-08,13.32,1.0,UT,A Year of Zen: A 52-Week Guided Journal (A Year of Reflections Journal),1647397170,ABIS_BOOK,R_0DoXqOQl0hxEeFH,13.32
2021-01-05,7.6,1.0,UT,A que si! (World Languages),1111837945,ABIS_BOOK,R_2Xj7LtCe2Mt8jNi,7.6
2020-08-27,21.4,1.0,UT,A que si! (World Languages),1111837945,ABIS_BOOK,R_2Xj7LtCe2Mt8jNi,21.4
2022-06-07,11.89,1.0,UT,"ABC for Me: ABC What Can She Be?: Girls can be anything they want to be, from A to Z (Volume 5) (ABC for Me, 5)",1633226247,ABIS_BOOK,R_vTgJcqkP3auCuGJ,11.89
