Order Date,Purchase Price Per Unit,Quantity,Shipping Address State,Title,ASIN/ISBN (Product Code),Category,Survey ResponseID,Total Value
2021-01-14,10.97,1.0,VT,"100 Cookies: The Baking Book for Every Kitchen, with Classic Cookies, Novel Treats, Brownies, Bars, and More",1452180733,ABIS_BOOK,R_SIWNWQmjel55jzP,10.97
2018-01-06,1.6,1.0,VT,A Gift for Amy (Portraits of Little Women),0385326718,ABIS_BOOK,R_1goV1AJmLMRsVRE,1.6
2018-01-06,1.35,1.0,VT,A Gift for Jo (Portraits of Little Women),0385326688,ABIS_BOOK,R_1goV1AJmLMRsVRE,1.35
2018-01-06,3.0,1.0,VT,A Gift for Meg (Portraits of Little Women),038532670X,ABIS_BOOK,R_1goV1AJmLMRsVRE,3.0
2018-08-05,16.2,1.0,VT,A Place for Us: A Novel,1524763551,ABIS_BOOK,R_SIWNWQmjel55jzP,16.2
2020-03-27,9.45,1.0,VT,A War of the People: Vermont Civil War Letters,0874519233,ABIS_BOOK,R_2OHgbfVLtFIinBW,9.45
2020-04-29,11.99,1.0,VT,A Year of Us: A Couple's Journal: One Question a Day to Spark Fun and Meaningful Conversations (Question a Day Couple's Journal),1641524243,ABIS_BOOK,R_3dSmRMst5i95tAD,11.99
2022-07-18,7.19,1.0,VT,ABCs of Engineering: The Essential STEM Board Book of First Engineering Words for Kids (Science Gifts for Kids) (Baby University),1492671215,ABIS_BOOK,R_1ouRfsTlr2iWPge,7.19
2021-03-07,5.89,1.0,VT,"Abby Hemenway's Vermont;: Unique portrait of a state,",0828901449,ABIS_BOOK,R_3dSmRMst5i95tAD,5.89
2021-09-12,18.95,1.0,VT,Adak: The Rescue of Alfa Foxtrot 586,1591144108,ABIS_BOOK,R_2OHgbfVLtFIinBW,18.95
2019-09-03,10.52,1.0,VT,Adult All-In-One Course: Lesson-Theory-Technic: Level 1,0882848186,ABIS_BOOK,R_BWXTQ8uoVbA45CV,10.52
2020-01-29,4.84,1.0,VT,Adult Coloring Book: Stress Relieving Animal Designs,1941325114,ABIS_BOOK,R_31bj3K9VrF3xiPE,4.84
2020-04-19,15.04,1.0,VT,Adult Piano Adventures All-in-One Piano Course Book 1 - Book With Media Online,1616773022,ABIS_BOOK,R_3GBSX5xvcH0uSyx,15.04
2020-06-07,6.76,1.0,VT,Alfred Hitchcock's Ghostly Gallery: Eleven Spooky Stories for Young People,0394812263,ABIS_BOOK,R_3GBSX5xvcH0uSyx,6.76
2020-09-18,9.5,1.0,VT,"Alfred's Basic Adult Piano Course -- Popular Hits, Bk 1 (Alfred's Basic Adult Piano Course, Bk 1)",1470627337,ABIS_BOOK,R_BWXTQ8uoVbA45CV,9.5
2020-09-18,9.99,1.0,VT,"Alfred's Basic Adult Piano Course Greatest Hits, Bk 1 (Alfred's Basic Adult Piano Course, Bk 1)",0739002813,ABIS_BOOK,R_BWXTQ8uoVbA45CV,9.99
2021-10-23,15.99,1.0,VT,Alone at Dawn: Medal of Honor Recipient John Chapman and the Untold Story of the World's Deadliest Special Operations Force,1538729652,ABIS_BOOK,R_2OHgbfVLtFIinBW,15.99
2021-02-28,12.97,1.0,VT,An American Marriage (Oprah's Book Club): A Novel,1616208686,ABIS_BOOK,R_2R20tGsAciB0E9U,12.97
2021-12-09,13.49,1.0,VT,Audubon Birds in the Garden Wall Calendar 2022,1523512180,ABIS_BOOK,R_31bj3K9VrF3xiPE,13.49
2022-09-12,8.99,1.0,VT,Avatar: The Last Airbender - Toph Beifong's Metalbending Academy,1506717128,ABIS_BOOK,R_5jBIUuJMIveh2sV,8.99
2019-11-06,5.39,1.0,VT,Baby Faces,0789436507,ABIS_BOOK,R_2wsgO78uo2UaxT6,5.39
2021-12-12,18.69,1.0,VT,Bass Guitar For Dummies,1119695570,ABIS_BOOK,R_1ouRfsTlr2iWPge,18.69
2020-06-30,25.18,1.0,VT,Berkeley Breathed's Outland: The Complete Collection (Bloom County),1613771762,ABIS_BOOK,R_3dSmRMst5i95tAD,25.18
2020-06-30,38.79,1.0,VT,Berkeley Breathed’s Academia Waltz And Other Profound Transgressions (Bloom County),1631400762,ABIS_BOOK,R_3dSmRMst5i95tAD,38.79
2022-11-10,17.16,1.0,VT,Between Them: Remembering My Parents,0062661884,ABIS_BOOK,R_3gMW75Ptp1g7ChC,17.16
2020-11-27,22.22,1.0,VT,Binging With Babish: 100 Recipes Recreated from Your Favorite Movies and TV Shows,1328589897,ABIS_BOOK,R_3gMW75Ptp1g7ChC,22.22
2022-05-18,14.39,1.0,VT,Birds of New Hampshire & Vermont Field Guide (Bird Identification Guides),1591936403,ABIS_BOOK,R_3GBS8tWaQz8xHPl,14.39
2020-06-30,39.99,1.0,VT,"Bloom County: The Complete Library, Vol. 1: 1980-1982",1600105319,ABIS_BOOK,R_3dSmRMst5i95tAD,39.99
2020-06-30,52.5,1.0,VT,"Bloom County: The Complete Library, Vol. 2: 1982-1984 (Bloom County Library)",1600105831,ABIS_BOOK,R_3dSmRMst5i95tAD,52.5
2020-06-30,33.13,1.0,VT,"Bloom County: The Complete Library, Vol. 3: 1984-1986 (Bloom County Library)",1600107559,ABIS_BOOK,R_3dSmRMst5i95tAD,33.13
2020-06-30,59.95,1.0,VT,"Bloom County: The Complete Library, Vol. 4: 1986-1987 (Bloom County Library)",1600108997,ABIS_BOOK,R_3dSmRMst5i95tAD,59.95
2020-06-30,46.9,1.0,VT,"Bloom County: The Complete Library, Vol. 5 1987-1989",1613770618,ABIS_BOOK,R_3dSmRMst5i95tAD,46.9
2022-11-09,7.99,1.0,VT,Brain Games - Find the Cat: Track Down Cute Cats and Adorable Kittens in 129 Pictures (Brain Games - Picture Puzzles),1640304576,ABIS_BOOK,R_3dSmRMst5i95tAD,7.99
2020-08-30,13.49,1.0,VT,"Breathe Like a Bear: 30 Mindful Moments for Kids to Feel Calm and Focused Anytime, Anywhere (Mindfulness Moments for Kids)",1623368839,ABIS_BOOK,R_2R20tGsAciB0E9U,13.49
2022-11-03,6.99,1.0,VT,"Canine Seizure Journal Book: Easily Track Triggers, Symptoms, Warning Signs, Medication & Medical History, Side Effects, & More",B09GZDPLHD,ABIS_BOOK,R_2R20tGsAciB0E9U,6.99
2019-10-22,7.99,1.0,VT,Carl Goes Shopping,0374311013,ABIS_BOOK,R_SIWNWQmjel55jzP,7.99
2019-12-11,5.99,1.0,VT,"Cat Butt Christmas: A Xmas Coloring Book (Purr-fect Gifts for B-days, Holidays, White Elephant & more!)",1733702229,ABIS_BOOK,R_2R20tGsAciB0E9U,5.99
2019-10-14,18.0,1.0,VT,"Catch and Kill: Lies, Spies, and a Conspiracy to Protect Predators",0316486639,ABIS_BOOK,R_SIWNWQmjel55jzP,18.0
2021-01-15,12.25,1.0,VT,Chicano Eats: Recipes from My Mexican-American Kitchen,0062917374,ABIS_BOOK,R_SIWNWQmjel55jzP,12.25
2022-11-09,9.95,1.0,VT,"Chicken Games & Puzzles: 100 Word Games, Picture Puzzles, Fun Mazes, Silly Jokes, Codes, and Activities for Kids (Storey's Games & Puzzles)",1612120873,ABIS_BOOK,R_3dSmRMst5i95tAD,9.95
2020-05-07,1.87,1.0,VT,Civil War Cooking: The Confederacy (Exploring History Through Simple Recipes),0736803505,ABIS_BOOK,R_2OHgbfVLtFIinBW,1.87
2019-09-14,16.47,1.0,VT,"Compendium of Seashells: A Full-Color Guide to More than 4,200 of the World's Marine Shells",0525932690,ABIS_BOOK,R_31bj3K9VrF3xiPE,16.47
2023-02-11,13.99,1.0,VT,"Confessions of an Egyptologist: Lost Libraries, Vanished Labyrinths & the Astonishing Truth Under the Saqqara Pyramids (Erich von Daniken Library)",1632651912,ABIS_BOOK,R_2OHgbfVLtFIinBW,13.99
2021-09-18,24.99,1.0,VT,"Cooking at Home: Or, How I Learned to Stop Worrying About Recipes (And Love My Microwave): A Cookbook",1524759244,ABIS_BOOK,R_SIWNWQmjel55jzP,24.99
2019-12-25,8.79,1.0,VT,Dark World: Into the Shadows with the Lead Investigator of The Ghost Adventures Crew,1936608855,ABIS_BOOK,R_1pXW6O7eeECXNNK,8.79
2019-09-04,12.95,1.0,VT,"Dawn of Victory: Breakthrough at Petersburg, March 25 - April 2, 1865 (Emerging Civil War Series)",1611212804,ABIS_BOOK,R_2OHgbfVLtFIinBW,12.95
2018-03-30,12.01,1.0,VT,Dear Madam President: An Open Letter to the Women Who Will Run the World,1538713454,ABIS_BOOK,R_SIWNWQmjel55jzP,12.01
2020-11-17,10.8,1.0,VT,"ESV Premium Gift Bible (TruTone, Midnight, Flame Design)",1433550628,ABIS_BOOK,R_21A4xxuYvBDTAQm,10.8
2018-01-15,6.46,1.0,VT,Each Peach Pear Plum board book,067088278X,ABIS_BOOK,R_SIWNWQmjel55jzP,6.46
2019-12-21,19.47,1.0,VT,"Elton John - Greatest Hits 1970-2002 Piano, Vocal and Guitar Chords",0634083732,ABIS_BOOK,R_3gMW75Ptp1g7ChC,19.47
2018-02-07,8.99,1.0,VT,Etched in Bone (A Novel of the Others),0451474503,ABIS_BOOK,R_3dSmRMst5i95tAD,8.99
2019-10-30,6.03,1.0,VT,Field Guide to the Night Sky (National Audubon Society Field Guides),0679408525,ABIS_BOOK,R_3GBSX5xvcH0uSyx,6.03
2020-09-07,11.59,1.0,VT,Fire Cider!: 101 Zesty Recipes for Health-Boosting Remedies Made with Apple Cider Vinegar,1635861802,ABIS_BOOK,R_28NdvpiMbmD53BH,11.59
2020-07-14,41.99,1.0,VT,"First Aid For the USMLE Step 1 2020, Thirtieth Edition",1260462048,ABIS_BOOK,R_3m49Ymv2vCz3zPJ,41.99
2019-08-02,16.2,1.0,VT,Fleishman Is in Trouble: A Novel,0525510877,ABIS_BOOK,R_SIWNWQmjel55jzP,16.2
2022-07-30,21.38,1.0,VT,"Four-Season Harvest: Organic Vegetables from Your Home Garden All Year Long, 2nd Edition",1890132276,ABIS_BOOK,R_3e8qukcDiaT0D0g,21.38
2022-12-14,58.99,1.0,VT,"Frank Herbert's Dune Saga 6-Book Boxed Set: Dune, Dune Messiah, Children of Dune, God Emperor of Dune, Heretics of Dune, and Chapterhouse: Dune (Dune, 1-6)",0593201884,ABIS_BOOK,R_3gMW75Ptp1g7ChC,58.99
2020-06-19,30.99,1.0,VT,"Frontier Blood: Saga of the Parker Family (CENTENNIAL SERIES OF THE ASSOCIATION OF FORMER STUDENTS, TEXAS A & M UNIVERSITY)",1585441368,ABIS_BOOK,R_2OHgbfVLtFIinBW,30.99
2021-08-19,7.95,1.0,VT,Galaxy Internet Address & Password Logbook (Cover band is removable for security),1441333851,ABIS_BOOK,R_31bj3K9VrF3xiPE,7.95
2018-07-25,13.79,1.0,VT,"Girl, Wash Your Face: Stop Believing the Lies About Who You Are So You Can Become Who You Were Meant to Be",1400201659,ABIS_BOOK,R_SIWNWQmjel55jzP,13.79
2022-07-18,5.85,1.0,VT,Go the F**k to Sleep,1617750255,ABIS_BOOK,R_1ouRfsTlr2iWPge,5.85
2019-10-22,7.05,1.0,VT,"Good Dog, Carl : A Classic Board Book",0689807481,ABIS_BOOK,R_SIWNWQmjel55jzP,7.05
2020-01-29,5.48,1.0,VT,Great Book of Egg Decorating,0806959118,ABIS_BOOK,R_31bj3K9VrF3xiPE,5.48
2021-12-12,18.99,1.0,VT,Harry Potter and the Chamber of Secrets (MinaLima Edition) (2),1338716530,ABIS_BOOK,R_1ouRfsTlr2iWPge,18.99
2021-12-12,18.56,1.0,VT,"Harry Potter and the Sorcerer's Stone: MinaLima Edition (Harry Potter, Book 1) (1)",1338596705,ABIS_BOOK,R_1ouRfsTlr2iWPge,18.56
2022-11-02,10.71,1.0,VT,Hood Feminism: Notes from the Women That a Movement Forgot,0525560564,ABIS_BOOK,R_2R20tGsAciB0E9U,10.71
2019-09-02,6.54,1.0,VT,How to Be a Victorian: A Dawn-to-Dusk Guide to Victorian Life,163149113X,ABIS_BOOK,R_3dSmRMst5i95tAD,6.54
2021-01-14,13.98,1.0,VT,How to Be an Antiracist,0525509283,ABIS_BOOK,R_2R20tGsAciB0E9U,13.98
2020-04-15,18.39,1.0,VT,How to Do Nothing: Resisting the Attention Economy,1612197493,ABIS_BOOK,R_2VIWjKayaOipDma,18.39
2019-12-25,17.5,1.0,VT,I Am Haunted: Living Life Through the Dead,1628603801,ABIS_BOOK,R_1pXW6O7eeECXNNK,17.5
2019-01-31,16.8,1.0,VT,Indian-Ish: Recipes and Antics from a Modern American Family,1328482472,ABIS_BOOK,R_SIWNWQmjel55jzP,16.8
2018-07-24,5.14,1.0,VT,It Starts With Food: Discover the Whole30 and Change Your Life in Unexpected Ways,1628600543,ABIS_BOOK,R_SIWNWQmjel55jzP,5.14
2022-01-27,21.99,1.0,VT,Jam Bake: Inspired Recipes for Creating and Baking with Preserves,0525611088,ABIS_BOOK,R_SIWNWQmjel55jzP,21.99
2019-12-08,16.49,1.0,VT,James Herriot's Treasury for Children: Warm and Joyful Tales by the Author of All Creatures Great and Small,1250058139,ABIS_BOOK,R_2TuFcjWqzxzC2Cd,16.49
2018-01-06,4.92,1.0,VT,Jo Makes a Friend (Portraits of Little Women),0385325819,ABIS_BOOK,R_1goV1AJmLMRsVRE,4.92
2018-01-06,5.27,1.0,VT,Jo's Story (Portraits of Little Women),0385325231,ABIS_BOOK,R_1goV1AJmLMRsVRE,5.27
