Order Date,Purchase Price Per Unit,Quantity,Shipping Address State,Title,ASIN/ISBN (Product Code),Category,Survey ResponseID,Total Value
2021-06-22,5.99,1.0,WV,4PCS Creality 3D Printer Extruder Nozzles 0.2mm 0.3mm 0.4mm 0.5mm for Creality Ender 3/Ender 3 Pro/Ender 3 V2/Ender 3 S1/Ender 5 Pro/Ender 5 Plus/CR-10 V3,B071SFMJQ1,3D_PRINTER,R_1obTvqaqyTDLSN2,5.99
2020-09-20,236.0,1.0,WV,Creality Ender 3 Pro 3D Printer All Metal Frame FDM DIY Printer with Removable Build Surface Plate and UL Certified Power Supply 220x220x250mm,B08868PN2P,3D_PRINTER,R_3HTY4DHoMm8pvu8,236.0
2021-06-21,214.4,1.0,WV,Official Creality Ender 3 V2 3D Printer with Upgraded 32-bit Silent Motherboard Carborundum Glass Platform Resuming Printing Function Free Filaments & Nozzles 220x220x250MM New User Interface,B08QZ5F1W9,3D_PRINTER,R_1obTvqaqyTDLSN2,214.4
2022-10-11,16.79,1.0,WV,"Sovol Upgrade 3D Printer Kit with All Metal Dual Gear Extruder Feeder, Capricorn Premium XS Bowden Tubing, Pneumatic Couplers & Bed-Level Springs for Ender 3 V2/3/3 Pro/5 CR-10 Series/10S/20/20 Pro",B08Y5T1392,3D_PRINTER,R_1obTvqaqyTDLSN2,16.79
2022-09-21,59.99,1.0,WV,MYNT3D Professional Printing 3D Pen with OLED Display,B01BLQ24IW,3D_PRINTING_PEN,R_1obTvqaqyTDLSN2,59.99
2021-04-23,12.74,1.0,WV,"Vinsguir Ab Roller for Abs Workout, Ab Roller Wheel Exercise Equipment for Core Workout, Ab Wheel Roller for Home Gym, Ab Workout Equipment for Abdominal Exercise (Black&Red)",B07RKW5H68,ABDOMINAL_EXERCISER,R_1qh2Jd0oysYajeA,12.74
2022-02-21,4.99,1.0,WV,"101 Promises from Psalms, A Box of Blessings (Boxes of Blessing)",B004KO1OT8,ABIS_BOOK,R_8CXcySQawXPuJwJ,4.99
2021-11-15,5.99,1.0,WV,"2021 Word Search Large Print Puzzle Books for Adults Vol #3: 100 Puzzles Word Finds Puzzle Book For Puzzlers Adults & Seniors,Wordsearch Activity ... Seniors; (word search for adults large print)",B08WJY6BLF,ABIS_BOOK,R_8CXcySQawXPuJwJ,5.99
2021-12-31,11.48,1.0,WV,2022 The Lord of the Rings Wall Calendar,143888396X,ABIS_BOOK,R_2WMWkiZaazUyfmr,11.48
2018-12-05,9.0,1.0,WV,2312,0316098116,ABIS_BOOK,R_TtjiPpPxtkd5Vnz,9.0
2021-05-23,4.99,2.0,WV,3-Minute Devotions for Boys: 90 Exciting Readings for Men Under Construction,1630586781,ABIS_BOOK,R_3HTY4DHoMm8pvu8,9.98
2019-12-01,6.49,2.0,WV,5-Minute Devotions for Girls: Featuring 180 Daily Devotions (Faithgirlz),0310763126,ABIS_BOOK,R_3HTY4DHoMm8pvu8,12.98
2021-06-14,5.99,1.0,WV,50 Shades Of Bullsh*t: Dark Edition: Swear Word Coloring Book,2376190029,ABIS_BOOK,R_1msYd9aPVkQcY8T,5.99
2018-02-25,5.38,1.0,WV,"A Court of Mist and Fury (A Court of Thorns and Roses, 2)",1619634465,ABIS_BOOK,R_20V73ixsOYXCBbP,5.38
2018-03-04,11.15,1.0,WV,"A Court of Wings and Ruin (A Court of Thorns and Roses, 3)",1619634481,ABIS_BOOK,R_20V73ixsOYXCBbP,11.15
2018-08-27,14.99,1.0,WV,A Fine Gentleman (The Jonquil Brothers Book #4),1524402109,ABIS_BOOK,R_2alybIrtMFx3zDD,14.99
2020-08-18,11.21,1.0,WV,A Little SPOT Learns Online: A Story About Virtual Classroom Expectations,1951287371,ABIS_BOOK,R_3HTY4DHoMm8pvu8,11.21
2022-08-16,35.49,1.0,WV,"ATI TEAS Secrets Study Guide: TEAS 7 Prep Book, Six Full-Length Practice Tests (1,000+ Questions), Step-by-Step Video Tutorials: [Updated for the 7th Edition]",1516720008,ABIS_BOOK,R_1qh2Jd0oysYajeA,35.49
2021-02-25,5.99,1.0,WV,Active Minds - Write-and-Erase - Wipe Clean Learning Boards Ages 6+ - Cursive (Active Minds Welbs),164269231X,ABIS_BOOK,R_3HTY4DHoMm8pvu8,5.99
2020-08-07,87.95,1.0,WV,"Advanced Safety Management: Focusing on Z10.0, 45001, and Serious Injury Prevention",1119605415,ABIS_BOOK,R_3HTY4DHoMm8pvu8,87.95
2019-12-21,10.7,1.0,WV,After I Do: A Novel,1476712840,ABIS_BOOK,R_1rv6C0xXvnmfYMh,10.7
2020-12-12,12.99,1.0,WV,Alexander Hamilton,0143034758,ABIS_BOOK,R_1jrX9pmBJE4R3hF,12.99
2018-06-10,25.0,1.0,WV,Amazon.com Gift Card in a Reveal (Various Designs),B01B25LIJI,ABIS_BOOK,R_3EuLVznxdNt9ygD,25.0
2022-12-19,25.0,1.0,WV,Amazon.com Gift Card in a Reveal (Various Designs),B071VCQJ24,ABIS_BOOK,R_vMijnnNdSbSLScV,25.0
2019-12-19,7.95,1.0,WV,Amy Brown Faeries Coloring Book,1523651601,ABIS_BOOK,R_z1fvSibqdewGSD7,7.95
2021-03-07,17.99,1.0,WV,Angel Answers Oracle Cards: A 44-Card Deck and Guidebook,1401959245,ABIS_BOOK,R_8CXcySQawXPuJwJ,17.99
