Order Date,Purchase Price Per Unit,Quantity,Shipping Address State,Title,ASIN/ISBN (Product Code),Category,Survey ResponseID,Total Value
2022-01-03,195.99,1.0,WY,Official Creality Ender 3 3D Printer Fully Open Source with Resume Printing Function DIY 3D Printers Printing Size 8.66x8.66x9.84 inch,B07BR3F9N6,3D_PRINTER,R_3hirVgfnDloHJmJ,195.99
2020-12-09,21.95,1.0,WY,50 Years in the Mouse House: The Lost Memoir of One of Disney’s Nine Old Men,1941500471,ABIS_BOOK,R_2UaV2vSZDxrE35n,21.95
2022-02-28,13.65,1.0,WY,All About Love: New Visions,0060959479,ABIS_BOOK,R_9M43XaNdATGedPz,13.65
2021-07-22,6.4,1.0,WY,Animorphs #54: The Beginning,0439115280,ABIS_BOOK,R_3hirVgfnDloHJmJ,6.4
2021-10-06,12.99,1.0,WY,Becoming Odyssa: Adventures on the Appalachian Trail,0825309387,ABIS_BOOK,R_9M43XaNdATGedPz,12.99
2022-02-28,1.34,1.0,WY,"Born to Run: A Hidden Tribe, Superathletes, and the Greatest Race the World Has Never Seen",0307279189,ABIS_BOOK,R_9M43XaNdATGedPz,1.34
2021-10-06,4.9,1.0,WY,Called Again: A Story of Love and Triumph,0825307457,ABIS_BOOK,R_9M43XaNdATGedPz,4.9
2019-05-11,12.95,1.0,WY,Canada Western Travel Reference Map (Waterproof),1771291605,ABIS_BOOK,R_afU6KRn89n5n9i9,12.95
2019-05-11,18.32,1.0,WY,DeLorme Atlas & Gazetteer: Alaska,1946494119,ABIS_BOOK,R_afU6KRn89n5n9i9,18.32
2018-12-17,8.99,1.0,WY,Fuck Stress!: Adult Coloring Book With Curse Words,1544988958,ABIS_BOOK,R_2wmLFQjrvMKTYQX,8.99
2020-06-23,23.62,1.0,WY,Harry Potter and the Chamber of Secrets: The Illustrated Edition (Illustrated) (2),0545791324,ABIS_BOOK,R_3hirVgfnDloHJmJ,23.62
2020-01-24,12.52,1.0,WY,"Harry Potter and the Sorcerer's Stone: The Illustrated Edition (Harry Potter, Book 1)",0545790352,ABIS_BOOK,R_3hirVgfnDloHJmJ,12.52
2019-04-28,15.99,1.0,WY,How Not to Die: Discover the Foods Scientifically Proven to Prevent and Reverse Disease,1250066115,ABIS_BOOK,R_XGKozLuGXZzktCF,15.99
2019-12-14,6.99,1.0,WY,I Love Pugs Coloring Book (Premium Adult Coloring Books),1975959655,ABIS_BOOK,R_2UaV2vSZDxrE35n,6.99
2018-09-09,13.2,1.0,WY,In The Shadow Of Man,0547334168,ABIS_BOOK,R_afU6KRn89n5n9i9,13.2
